"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Tuba1a",1.15329751299936e-24,0.390898402493576,0.722,0.638,3.88615129980266e-20,"5","Tuba1a"
"Ndufa131",1.23436115216628e-24,0.673191853244178,0.308,0.2,4.1593033383395e-20,"5","Ndufa13"
"Parp82",1.3360848752673e-24,0.932564272742512,0.272,0.175,4.50207159570069e-20,"5","Parp8"
"Sncg1",1.51571220696763e-24,0.632946800262856,0.377,0.263,5.10734385259811e-20,"5","Sncg"
"Mrpl172",2.44436341178854e-24,0.715687240569331,0.319,0.216,8.23652695236267e-20,"5","Mrpl17"
"S100a102",2.76183041778922e-24,0.318049883934962,0.833,0.757,9.30626377578257e-20,"5","S100a10"
"Impact",4.24869113320252e-24,0.799402598822332,0.289,0.19,1.43163896424392e-19,"5","Impact"
"Hivep31",4.94119178395737e-24,0.78952023929677,0.306,0.202,1.66498398352227e-19,"5","Hivep3"
"Dusp12",5.04988897066435e-24,0.577557476646311,0.452,0.338,1.70161058755506e-19,"5","Dusp1"
"Ninj11",5.25387430450658e-24,0.720166767327046,0.316,0.208,1.77034548564654e-19,"5","Ninj1"
"Tpm41",6.44781456598871e-24,0.583921884297862,0.435,0.321,2.17265559615555e-19,"5","Tpm4"
"Nrp22",7.95268198721098e-24,0.679766343720792,0.434,0.325,2.67973572241061e-19,"5","Nrp2"
"Rbpms2",8.07002209414282e-24,0.729507607788925,0.321,0.214,2.71927464484236e-19,"5","Rbpms"
"Nab12",8.08722289746891e-24,0.753676377021741,0.294,0.193,2.72507062753112e-19,"5","Nab1"
"Kdm7a2",1.12544151649086e-23,0.774450552457855,0.284,0.183,3.79228773396759e-19,"5","Kdm7a"
"Gm144031",2.1213927107345e-23,0.703379248526967,0.319,0.215,7.14824487809098e-19,"5","Gm14403"
"Frs21",2.88382213641533e-23,0.492842806811086,0.529,0.417,9.7173270708651e-19,"5","Frs2"
"Ptp4a2",3.35512217931874e-23,0.45159899004308,0.584,0.471,1.13054196954324e-18,"5","Ptp4a2"
"Rab2a",3.98401286008649e-23,0.35361675679309,0.759,0.679,1.34245297333474e-18,"5","Rab2a"
"Zc3hav1",4.47284963875954e-23,0.775006087539972,0.28,0.183,1.50717141427641e-18,"5","Zc3hav1"
"Junos2",6.16343963085426e-23,0.685548826785149,0.338,0.232,2.07683261801265e-18,"5","Junos"
"Pgls1",8.79067566652683e-23,0.812633871168103,0.254,0.162,2.96210607259288e-18,"5","Pgls"
