"","Cluster","Epithelial","Fibroblast","EMT","Phenotype"
"g0","0",0.0168166366658906,13.1991176420257,1.12909828152296,"Fibroblast"
"g1","1",0.0354594534094177,7.6501066388552,0.623573241501748,"Fibroblast"
"g2","2",0.0157500177388137,11.4196474536698,0.782843847706596,"Fibroblast"
"g3","3",0.0139378413964658,13.6943466307027,1.0426174663309,"Fibroblast"
"g4","4",0.0186360741650821,13.0464167056737,1.09818953971466,"Fibroblast"
"g5","5",0.0172833732276102,8.11308388697672,0.594452624811581,"Fibroblast"
"g6","6",0.0274635997299096,8.9050148196749,0.77558457616148,"Fibroblast"
"g7","7",0.0201529353663961,13.1095851630459,1.09058738757756,"Fibroblast"
"g8","8",0.0321757004143633,9.18532211103911,0.515025145683555,"Fibroblast"
"g9","9",0.0194888831478117,11.6952414904367,0.839372251458937,"Fibroblast"
"g10","10",0.0391127887992161,9.37483865987523,0.603809834206282,"Fibroblast"
"g11","11",0.0252702007251963,12.7179222142039,0.253222566353768,"Fibroblast"
"g12","12",0.0190276360752576,14.2949455910725,1.31426717117422,"Fibroblast"
"g13","13",0.02465483234714,7.34004491042959,1.68279103232928,"Fibroblast"
