"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Rps15a2",9.86268637788222e-62,0.808823945730912,0.969,0.972,3.32333080189119e-57,"11","Rps15a"
"Rpl71",1.1360407618002e-61,0.720378757579078,0.998,0.99,3.82800295096194e-57,"11","Rpl7"
"Rplp22",1.64342630397221e-61,0.818184124552252,0.966,0.969,5.53768927386475e-57,"11","Rplp2"
"Ybx12",1.70344111871615e-60,0.919238815723042,0.918,0.914,5.73991519362593e-56,"11","Ybx1"
"Fau1",3.28193862613233e-60,0.787362580431679,1,0.991,1.10588203946155e-55,"11","Fau"
"Rack13",2.43536416859401e-57,0.723100477764056,0.988,0.981,8.20620310249438e-53,"11","Rack1"
"Rpl36a2",2.89469758034525e-57,0.903216790393328,0.913,0.9,9.75397296673137e-53,"11","Rpl36a"
"Rps133",7.82687249656867e-57,0.810820218654623,0.973,0.959,2.63734295644378e-52,"11","Rps13"
"Rpl13a2",8.19912762207282e-57,0.773508241893479,0.969,0.964,2.76277804353366e-52,"11","Rpl13a"
"Rpl37a3",1.34950779568414e-56,0.789068194554225,0.969,0.962,4.54730146833729e-52,"11","Rpl37a"
"Rps112",2.33301717083366e-56,0.811600106670975,0.957,0.961,7.86133465884109e-52,"11","Rps11"
"Rpl181",1.41175781420813e-54,0.775180161851954,0.961,0.966,4.75705913075571e-50,"11","Rpl18"
"Nme23",5.28561171397955e-54,1.03413123135382,0.884,0.833,1.78103972314255e-49,"11","Nme2"
"Rps62",7.53924986037881e-54,0.726128464265393,0.983,0.979,2.54042563295324e-49,"11","Rps6"
"Ptma2",1.17530927734304e-53,0.797843654133459,0.976,0.975,3.9603221409351e-49,"11","Ptma"
"Rpl311",2.00016769399102e-53,0.730209451643185,0.971,0.973,6.73976506167215e-49,"11","Rpl31"
"Rpl18a2",3.84356027242501e-53,0.701490902720394,0.973,0.977,1.29512606939633e-48,"11","Rpl18a"
"Rps192",3.52504870629009e-52,0.731866130237961,0.966,0.967,1.18780041207151e-47,"11","Rps19"
"Rps32",1.12989816553581e-51,0.730383399789264,0.976,0.976,3.80730485858948e-47,"11","Rps3"
"Rpl392",3.97903932712453e-51,0.806159910399768,0.959,0.942,1.34077709166788e-46,"11","Rpl39"
"Rps210",1.24831411883476e-49,0.951487788000658,0.894,0.879,4.20631925482561e-45,"11","Rps2"
"Rps212",1.25751161623178e-49,0.797532458241569,0.976,0.967,4.23731114205461e-45,"11","Rps21"
"Rpl33",1.42177548476225e-49,0.679573267372445,0.978,0.975,4.79081467345488e-45,"11","Rpl3"
"Nsa21",1.3666066191367e-48,1.55345212074732,0.689,0.563,4.60491766384301e-44,"11","Nsa2"
"Rpl382",2.84861775032778e-47,0.669760956023971,0.973,0.975,9.59870237150448e-43,"11","Rpl38"
"Rpl272",2.03334690407807e-46,0.783596331283787,0.945,0.925,6.85156572798145e-42,"11","Rpl27"
"Rpl123",8.50915211053638e-46,0.753587114191864,0.954,0.966,2.86724389516634e-41,"11","Rpl12"
"Rps52",6.5457155482667e-45,0.720536312017962,0.959,0.964,2.20564431114395e-40,"11","Rps5"
"Actb3",9.82964617426549e-45,0.842655274081364,0.961,0.969,3.3121975748805e-40,"11","Actb"
"Arpc1b4",1.96578673618592e-44,1.33079729626027,0.713,0.602,6.62391498625207e-40,"11","Arpc1b"
"Rpl51",4.36865872205235e-44,0.597717914995826,0.981,0.981,1.47206324298276e-39,"11","Rpl5"
"Rpl152",1.00075122638264e-43,0.657191499976772,0.969,0.968,3.37213133241895e-39,"11","Rpl15"
"S100a44",2.69013958077364e-41,1.03724027612293,0.889,0.826,9.06469433137487e-37,"11","S100a4"
"Rps142",3.98833020796058e-41,0.580472125804363,0.986,0.986,1.3439077468744e-36,"11","Rps14"
"Rps252",1.29093476885532e-40,0.828418890428233,0.904,0.907,4.34993379713488e-36,"11","Rps25"
"Rps282",2.84377801185488e-39,0.81301612665911,0.884,0.894,9.5823943887462e-35,"11","Rps28"
"Rps182",3.63334158841012e-39,0.741246639450801,0.911,0.919,1.22429078163067e-34,"11","Rps18"
"Rpl10a3",9.03127647575657e-38,0.706188985061956,0.925,0.938,3.04317892127093e-33,"11","Rpl10a"
"Hcfc1r13",8.05767323537553e-37,1.38877799778098,0.643,0.528,2.71511357339214e-32,"11","Hcfc1r1"
"Atp5pd1",3.80136585900802e-36,0.99938649659599,0.769,0.741,1.28090823985134e-31,"11","Atp5pd"
"Rps292",4.12171299339017e-36,0.775355846934382,0.87,0.884,1.38885241025275e-31,"11","Rps29"
"Npc22",2.93818024721236e-35,1.26819295979549,0.694,0.616,9.90049216100677e-31,"11","Npc2"
"Rpl91",1.74646470569677e-34,0.588093476216875,0.969,0.978,5.88488747231584e-30,"11","Rpl9"
"Anp32b1",3.91037773464396e-34,1.23867139622814,0.733,0.71,1.31764088146563e-29,"11","Anp32b"
"Rpl43",9.55500373519067e-34,0.835824366372185,0.872,0.895,3.21965405860985e-29,"11","Rpl4"
"Rps152",3.01774615956629e-32,0.645253684320573,0.935,0.943,1.01685974592746e-27,"11","Rps15"
"Elob5",1.66893197998712e-31,1.16473596456618,0.675,0.624,5.6236331997646e-27,"11","Elob"
"Cox6c5",3.18188014837082e-31,1.11930844513632,0.658,0.581,1.07216633479503e-26,"11","Cox6c"
"mt-Cytb",3.50338528691299e-31,0.561581802981762,0.969,0.98,1.1805007062782e-26,"11","mt-Cytb"
"Rpl352",2.24500527792126e-30,0.939202075346498,0.747,0.707,7.56476978448348e-26,"11","Rpl35"
"Rpl7a1",9.86405626706883e-30,0.686557559225788,0.882,0.895,3.32379239975151e-25,"11","Rpl7a"
