"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Hmox1",0,1.39401452962439,0.671,0.302,0,"0","Hmox1"
"Ero1a",0,1.1202126616752,0.95,0.639,0,"0","Ero1a"
"Sema3c",0,1.52657015764801,0.51,0.209,0,"0","Sema3c"
"Pdgfra",0,0.843932670502197,0.96,0.802,0,"0","Pdgfra"
"Npm1",0,0.528283734360309,0.99,0.931,0,"0","Npm1"
"Ereg",2.5781956859948e-294,1.28786447713089,0.629,0.337,8.68748818352808e-290,"0","Ereg"
"Kdr",9.10191094481604e-274,1.09646942903285,0.657,0.375,3.06697991196521e-269,"0","Kdr"
"Ptgs2",3.62620408116851e-255,1.07819752254021,0.652,0.372,1.22188572719054e-250,"0","Ptgs2"
"Gpi1",1.46239807431683e-245,0.75442175538142,0.837,0.604,4.92769655121799e-241,"0","Gpi1"
"Lox",3.49353377937786e-245,0.971547062241061,0.695,0.425,1.17718114229916e-240,"0","Lox"
"Eif1",1.38849351968418e-237,0.444189399481298,0.991,0.944,4.67866776392783e-233,"0","Eif1"
"1110038B12Rik",9.90011549249043e-230,0.641933688323312,0.891,0.699,3.33594291634957e-225,"0","1110038B12Rik"
"Slc7a11",2.04742642443516e-227,1.5997830326502,0.313,0.11,6.8990080797767e-223,"0","Slc7a11"
"Cyp1b1",2.21711529374501e-225,1.35924434834624,0.398,0.167,7.47079169380318e-221,"0","Cyp1b1"
"Akr1b1",1.39116951681389e-216,0.932120314295314,0.712,0.485,4.68768480385609e-212,"0","Akr1b1"
"Igfbp4",1.75719901643035e-211,1.20878618734897,0.426,0.189,5.92105780576371e-207,"0","Igfbp4"
"Gapdh",8.96130450789108e-205,0.404659609424891,0.992,0.945,3.01960116697898e-200,"0","Gapdh"
"Pgk1",5.97544917795007e-201,0.535457279102518,0.939,0.805,2.01348735500206e-196,"0","Pgk1"
"Vegfa",6.43024274996441e-200,0.676149422601195,0.877,0.689,2.16673459702801e-195,"0","Vegfa"
"Txnrd1",2.29924327825807e-195,0.763529842598635,0.771,0.555,7.74753015041838e-191,"0","Txnrd1"
"Mt1",6.16459289505421e-190,0.625479950193601,0.897,0.748,2.07722122191747e-185,"0","Mt1"
"Lgals3",9.70665944939816e-189,0.637542116804185,0.856,0.676,3.2707559680692e-184,"0","Lgals3"
"Gas7",1.7496345704688e-188,0.984580598643251,0.588,0.345,5.89556864865166e-184,"0","Gas7"
"Prdx1",4.49820826867446e-177,0.725344955821573,0.891,0.764,1.51571625821255e-172,"0","Prdx1"
"Esd",2.37720172958387e-176,0.650507979175245,0.794,0.582,8.01021894800581e-172,"0","Esd"
"Btg1",2.84261061336014e-176,0.700518876720899,0.801,0.612,9.57846072277831e-172,"0","Btg1"
"Klf4",2.97102482022776e-159,0.635596227656804,0.808,0.605,1.00111652342394e-154,"0","Klf4"
"mt-Nd2",3.12253785268427e-155,0.36041024017118,0.993,0.955,1.05217035484049e-150,"0","mt-Nd2"
"Vcan",2.86187524884044e-150,0.698060661547804,0.711,0.496,9.64337483849274e-146,"0","Vcan"
"Sgk1",3.34726006558174e-150,0.873948057447954,0.556,0.339,1.12789275169842e-145,"0","Sgk1"
"Slc2a1",7.51426094458625e-146,0.937552298111173,0.451,0.244,2.53200536788778e-141,"0","Slc2a1"
"Maf",1.97765720975955e-143,1.01855315578002,0.423,0.225,6.66391373400577e-139,"0","Maf"
"Prl2c2",4.32040635815778e-142,0.690366948223128,0.621,0.394,1.45580412644485e-137,"0","Prl2c2"
"Fth1",1.04061633275835e-140,0.270993042912544,0.998,0.983,3.50646079486255e-136,"0","Fth1"
"Tanc2",9.354636693147e-139,0.787165728729594,0.67,0.473,3.15213838012281e-134,"0","Tanc2"
"Ahr",2.33780078510353e-138,1.26556349941265,0.29,0.129,7.87745352548487e-134,"0","Ahr"
"Mir22hg",1.4107189884654e-137,1.21025720803611,0.304,0.136,4.75355870353302e-133,"0","Mir22hg"
"Smim36",2.07802220567446e-129,0.890556313538742,0.507,0.317,7.00210362424067e-125,"0","Smim36"
"Mif",6.84376335110793e-124,0.342670370157628,0.966,0.897,2.30607449878933e-119,"0","Mif"
"Hspa5",3.46353068240629e-123,0.260430784555952,0.97,0.899,1.16707129874362e-118,"0","Hspa5"
"Prdx5",4.41928891121958e-122,0.618115557347755,0.72,0.537,1.48912359152455e-117,"0","Prdx5"
"Gclc",2.90281817119751e-121,0.776723502235555,0.519,0.324,9.78133610966713e-117,"0","Gclc"
"Ldha",1.02781196168947e-120,0.421485787827093,0.908,0.785,3.46331518610883e-116,"0","Ldha"
"Pid1",2.11824318621789e-120,0.584045580985053,0.666,0.46,7.13763224027981e-116,"0","Pid1"
"Rack1",1.63993810802107e-119,0.257997850486991,0.994,0.972,5.52593544878778e-115,"0","Rack1"
"Jak1",3.96735350950025e-114,0.594586516141302,0.739,0.575,1.3368394385612e-109,"0","Jak1"
"Magi3",5.83417375055421e-114,0.593155273578261,0.726,0.546,1.96588318698675e-109,"0","Magi3"
"Ier3",8.88759244816541e-113,0.470158521306542,0.882,0.746,2.99476315133382e-108,"0","Ier3"
"Fn1",1.21835358061713e-111,0.438473371538715,0.913,0.784,4.10536422524749e-107,"0","Fn1"
"Plk2",1.69991722849413e-111,0.51321669295574,0.727,0.535,5.72804109313381e-107,"0","Plk2"
"Klf9",3.31098472292959e-111,0.678710892009699,0.613,0.426,1.11566941223835e-106,"0","Klf9"
"Sqstm1",5.11826666246365e-111,0.460911577160667,0.875,0.75,1.72465113458375e-106,"0","Sqstm1"
"Kcnq1ot1",2.04418000829316e-109,0.449592608904875,0.877,0.74,6.88806895594463e-105,"0","Kcnq1ot1"
"Sfr1",7.54197483353655e-108,0.482979812574379,0.841,0.712,2.54134383990847e-103,"0","Sfr1"
"Gclm",5.39073275595285e-107,0.770510284932154,0.487,0.305,1.81646130944587e-102,"0","Gclm"
"Aldoa",1.23131776054985e-104,0.306131813050151,0.945,0.83,4.14904832594876e-100,"0","Aldoa"
"Pkm",2.54066605187708e-104,0.353322649759945,0.93,0.826,8.56102832840502e-100,"0","Pkm"
"Malat1",5.10903454597885e-103,0.279068046163454,0.999,0.963,1.72154028061303e-98,"0","Malat1"
"Sox4",1.19855860010332e-100,0.48418644275871,0.797,0.628,4.03866305890814e-96,"0","Sox4"
"Spp1",1.52830716417588e-99,0.255244539015162,0.999,0.954,5.14978382040704e-95,"0","Spp1"
"Smtn",1.90959732358175e-98,0.88157862616245,0.382,0.223,6.43457914154106e-94,"0","Smtn"
"Scd1",8.73073932859738e-97,0.890340001172589,0.35,0.196,2.94190992416417e-92,"0","Scd1"
"Hspa4l",1.12897144433947e-95,0.680822453064617,0.584,0.413,3.80418217884627e-91,"0","Hspa4l"
"Gbe1",1.22456294453382e-94,0.638430886789217,0.518,0.339,4.12628729790116e-90,"0","Gbe1"
"Prkca",3.61859464768229e-92,0.563733635541706,0.663,0.499,1.21932165248303e-87,"0","Prkca"
"Usp53",1.11810875921845e-91,0.7950558099393,0.434,0.275,3.7675792750625e-87,"0","Usp53"
"mt-Nd5",4.97967981294168e-90,0.303403224052315,0.96,0.889,1.67795290976883e-85,"0","mt-Nd5"
"Fam185a",6.85543199553139e-89,1.02476450831031,0.257,0.128,2.31000636521426e-84,"0","Fam185a"
"Rhob",9.62446217402227e-86,0.657117917661733,0.548,0.386,3.24305877415854e-81,"0","Rhob"
"Resf1",1.34218587042522e-85,0.431677555204033,0.777,0.622,4.52262950898484e-81,"0","Resf1"
"Serpinb6a",2.07507815994169e-83,0.515022921422733,0.66,0.505,6.99218336773952e-79,"0","Serpinb6a"
"Cers2",4.97561002187448e-83,0.715533166895537,0.476,0.321,1.67658155297083e-78,"0","Cers2"
"Ndrg1",5.43075027559427e-81,0.564285333308703,0.571,0.404,1.82994561286425e-76,"0","Ndrg1"
"Vapa",2.76554115122068e-78,0.517377091511578,0.652,0.504,9.31876746315322e-74,"0","Vapa"
"Mgst1",4.81562239256292e-78,0.787780884193503,0.324,0.185,1.622672121398e-73,"0","Mgst1"
"Stard13",4.99740581475906e-78,0.722245389687465,0.421,0.273,1.68392586334121e-73,"0","Stard13"
"Eif3e",1.17673933359751e-77,0.373371865181269,0.85,0.742,3.96514085849017e-73,"0","Eif3e"
"Tubb5",8.24391394159863e-75,0.354504698638145,0.849,0.719,2.77786924176107e-70,"0","Tubb5"
"Cebpb",2.8316353343074e-73,0.338768827346579,0.843,0.712,9.54147842248222e-69,"0","Cebpb"
"Tiparp",3.74127736730287e-73,0.384710807242645,0.806,0.656,1.26066082168637e-68,"0","Tiparp"
"Cast",7.13395357197224e-73,0.481988803410703,0.653,0.508,2.40385699561177e-68,"0","Cast"
"Phlda1",1.79154352098953e-71,0.451046795098939,0.732,0.58,6.03678504832631e-67,"0","Phlda1"
"P4ha1",2.27249902771331e-70,0.406443301286784,0.749,0.61,7.65741272378276e-66,"0","P4ha1"
"Igfbp6",4.52564139635666e-68,0.665714308955256,0.401,0.262,1.52496012491634e-63,"0","Igfbp6"
"Epb41l4aos",3.24509709388082e-67,0.658016577457454,0.366,0.23,1.09346791675408e-62,"0","Epb41l4aos"
"Pdgfc",7.33793322035788e-63,0.535731831475858,0.489,0.348,2.47258997793179e-58,"0","Pdgfc"
"Adamts1",2.16124799574571e-62,0.649108866959016,0.433,0.299,7.28254124646473e-58,"0","Adamts1"
"Cavin2",2.09230708917172e-61,0.731209036198161,0.367,0.24,7.05023796767303e-57,"0","Cavin2"
"Kdm7a",4.38140227806618e-61,0.777781894965825,0.286,0.169,1.47635731161718e-56,"0","Kdm7a"
"Tnfaip6",1.415743202184e-60,0.666361593690646,0.391,0.26,4.77048829407922e-56,"0","Tnfaip6"
"Hspa9",6.26499580978829e-60,0.325973090797565,0.785,0.643,2.11105298806626e-55,"0","Hspa9"
"Ezr",1.95124095038392e-59,0.720601924238069,0.343,0.221,6.57490150641366e-55,"0","Ezr"
"Ago2",5.80346405252406e-59,0.546480192190915,0.526,0.396,1.95553524713851e-54,"0","Ago2"
"Pals2",1.5021851828125e-58,0.559414448246399,0.454,0.319,5.06176319200499e-54,"0","Pals2"
"St3gal1",1.56663551397382e-57,0.531923559793636,0.487,0.352,5.27893502788617e-53,"0","St3gal1"
"mt-Nd4l",3.013190191019e-57,0.322353658683483,0.812,0.705,1.01532456676576e-52,"0","mt-Nd4l"
"Eef1g",3.60679654139016e-56,0.26469386230936,0.909,0.823,1.21534616258683e-51,"0","Eef1g"
"Cstb",7.28318696759805e-56,0.292084167277431,0.913,0.827,2.45414268060184e-51,"0","Cstb"
"Ackr3",1.14535379905005e-55,0.709255074149941,0.3,0.186,3.85938416127906e-51,"0","Ackr3"
"Slc48a1",5.49829536804251e-55,0.672365128592073,0.315,0.198,1.8527056072156e-50,"0","Slc48a1"
"Pim1",6.81500577142381e-55,0.717923844655607,0.286,0.176,2.29638434473897e-50,"0","Pim1"
"Ggnbp2",1.63689186008624e-54,0.424568104677926,0.643,0.521,5.51567081174661e-50,"0","Ggnbp2"
"Pgm1",1.7047304903382e-54,0.600382105337374,0.377,0.251,5.74425986024361e-50,"0","Pgm1"
"Hoxa5",2.10835633170626e-53,0.804946753267771,0.268,0.164,7.10431749531741e-49,"0","Hoxa5"
"Calr",1.77726401368763e-52,0.342521374574455,0.766,0.663,5.98866882052183e-48,"0","Calr"
"Klf5",1.8319659464436e-52,0.645921584428848,0.332,0.217,6.17299245313636e-48,"0","Klf5"
"Appbp2",3.61995261239261e-52,0.581899225664213,0.426,0.307,1.21977923227181e-47,"0","Appbp2"
"P4ha2",2.59061107582296e-51,0.523746510144251,0.431,0.303,8.72932308109304e-47,"0","P4ha2"
"Ghr",1.15891295919213e-50,0.489540870447803,0.49,0.365,3.90507310729381e-46,"0","Ghr"
"Spen",4.65312577203825e-50,0.744860340454405,0.26,0.158,1.56791726014601e-45,"0","Spen"
"Dclk1",8.70368917089542e-50,0.359356669694404,0.593,0.456,2.93279510302492e-45,"0","Dclk1"
"S100a16",1.13755896379186e-49,0.589218265053617,0.345,0.229,3.83311868439307e-45,"0","S100a16"
"Abcc1",2.16676598344087e-48,0.647019803806326,0.311,0.203,7.30113465780235e-44,"0","Abcc1"
"Cdr2l",1.63363642469173e-47,0.615737373648873,0.38,0.268,5.50470129664125e-43,"0","Cdr2l"
"Csnk2a1",1.07886281781478e-46,0.487103032496563,0.426,0.304,3.63533615090867e-42,"0","Csnk2a1"
"Uqcrh",9.69883661721124e-46,0.265616606453784,0.811,0.708,3.2681199865355e-41,"0","Uqcrh"
"Nampt",3.12478431327166e-45,0.579622871288691,0.326,0.217,1.05292732220002e-40,"0","Nampt"
"Nfe2l2",4.21396964493392e-45,0.41499727338814,0.583,0.464,1.41993921155693e-40,"0","Nfe2l2"
"Gabarap",5.5682972056416e-45,0.320615249716933,0.69,0.582,1.87629342641299e-40,"0","Gabarap"
"Rnf11",6.07550176696467e-45,0.434557196062723,0.571,0.453,2.04720107539641e-40,"0","Rnf11"
"Slit2",6.30508350425998e-45,0.448711480278085,0.583,0.465,2.12456093759544e-40,"0","Slit2"
"Klf3",8.31926017323426e-45,0.665470909514584,0.256,0.159,2.80325790797302e-40,"0","Klf3"
"Aff4",2.15083618399173e-44,0.345029761397047,0.683,0.564,7.24745760557852e-40,"0","Aff4"
"Nub1",5.40321216724685e-44,0.54257808906038,0.347,0.238,1.8206663718755e-39,"0","Nub1"
"Rarg",1.00216119692182e-43,0.579255200504263,0.343,0.235,3.37688236914775e-39,"0","Rarg"
"Eif4a2",1.44430076638091e-42,0.443058651892942,0.48,0.367,4.8667158623971e-38,"0","Eif4a2"
"Pgam1",4.64198347416027e-42,0.260433523594481,0.822,0.714,1.56416275145305e-37,"0","Pgam1"
"Sbds",4.75830289783522e-42,0.494928147337056,0.391,0.279,1.60335774445456e-37,"0","Sbds"
"Srxn1",4.7998343665979e-42,0.622027720849999,0.31,0.21,1.61735218816883e-37,"0","Srxn1"
"Clint1",5.8148886301461e-42,0.423390973513017,0.531,0.417,1.95938487281403e-37,"0","Clint1"
"Taco1",1.0732131507562e-41,0.459914256155625,0.4,0.288,3.61629903278808e-37,"0","Taco1"
"Egln1",1.94818244781051e-41,0.483363566028989,0.377,0.266,6.56459557614231e-37,"0","Egln1"
"Dnajb9",1.95033815093714e-41,0.611910952211047,0.305,0.205,6.57185943339778e-37,"0","Dnajb9"
"Camta1",2.25339809744182e-41,0.424811554633784,0.469,0.351,7.59305022913997e-37,"0","Camta1"
"Clta",3.32887165776235e-41,0.319048164298855,0.68,0.578,1.1216965937996e-36,"0","Clta"
"Gja1",7.1430172258911e-40,0.608128841583564,0.314,0.216,2.40691108443626e-35,"0","Gja1"
"Hsph1",1.6826041855446e-39,0.33664840626401,0.407,0.297,5.66970306361107e-35,"0","Hsph1"
"Akap8l",2.72509699678405e-39,0.567028269112309,0.314,0.215,9.18248684036352e-35,"0","Akap8l"
"Twist1",1.78115562486492e-38,0.512881784749578,0.383,0.28,6.00178199354485e-34,"0","Twist1"
"Card19",4.25856454871415e-38,0.521295054974124,0.336,0.235,1.43496591033472e-33,"0","Card19"
"Pmm1",5.93213082454779e-38,0.541951376294121,0.308,0.212,1.99889080263962e-33,"0","Pmm1"
"Cspp1",8.50206058234628e-38,0.397699401951939,0.49,0.381,2.8648543338274e-33,"0","Cspp1"
"Zfp407",2.88004669756088e-37,0.566636471549976,0.306,0.211,9.70460535210114e-33,"0","Zfp407"
"Fxr1",7.85069938196393e-37,0.329880777306697,0.577,0.469,2.64537166374657e-32,"0","Fxr1"
"Bnip3",3.53030669630347e-36,0.293337326434332,0.506,0.382,1.18957214438642e-31,"0","Bnip3"
