"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Spp1",0,0.641856192404142,0.995,0.963,0,"0","Spp1"
"Hmga2",8.69308893922298e-307,0.746780688932023,0.965,0.829,2.92922324896058e-302,"0","Hmga2"
"S100a4",3.11246870137172e-274,0.666767380750638,0.951,0.798,1.04877745361421e-269,"0","S100a4"
"Nfkb1",6.80055724183495e-265,1.14057088667759,0.74,0.499,2.29151576820871e-260,"0","Nfkb1"
"Col1a2",3.79705309686007e-244,0.80132290561033,0.757,0.488,1.27945501151797e-239,"0","Col1a2"
"Sox9",1.9580610603053e-204,1.14739324800167,0.532,0.3,6.59788254880475e-200,"0","Sox9"
"Il1rl1",1.56967268088496e-184,0.756416975202323,0.757,0.544,5.28916906550994e-180,"0","Il1rl1"
"Aebp1",3.73649454901036e-172,0.759523133613582,0.694,0.467,1.25904920323453e-167,"0","Aebp1"
"Trib1",8.72231867739608e-170,0.911319549423943,0.597,0.377,2.93907250153538e-165,"0","Trib1"
"Immp2l",4.25726052971993e-152,0.916042496597766,0.541,0.336,1.43452650809443e-147,"0","Immp2l"
"Rnf217",1.16204721360231e-143,1.07879292511044,0.458,0.268,3.91563429095433e-139,"0","Rnf217"
"Nfkbia",8.57171102191494e-143,0.4044222096662,0.827,0.633,2.88832374594446e-138,"0","Nfkbia"
"Fn1",1.78236497341019e-142,0.534297589960314,0.912,0.797,6.00585701440298e-138,"0","Fn1"
"Pcdh7",3.03426227735078e-140,0.669561833787876,0.723,0.536,1.02242501697612e-135,"0","Pcdh7"
"Tiparp",2.29267251449389e-139,0.603533983103638,0.817,0.668,7.7253893048386e-135,"0","Tiparp"
"Airn",5.41531932608466e-137,0.833409114124448,0.658,0.478,1.82474600011749e-132,"0","Airn"
"Lgals1",3.41017139431625e-136,0.330994745949883,0.985,0.915,1.1490913530288e-131,"0","Lgals1"
"Pmepa1",2.12564510761742e-135,0.526377302724202,0.855,0.705,7.16257375462767e-131,"0","Pmepa1"
"S100a6",3.569870986971e-135,0.352442132282464,0.988,0.948,1.20290372776975e-130,"0","S100a6"
"Medag",1.19292161798571e-134,0.811170342437813,0.597,0.4,4.01966868396464e-130,"0","Medag"
"Mast4",3.97492753609796e-134,0.637909773141199,0.762,0.581,1.33939158256357e-129,"0","Mast4"
"Ppargc1a",9.87623220243203e-124,1.24505855420827,0.312,0.156,3.3278952029315e-119,"0","Ppargc1a"
"Vcan",4.59650180902346e-123,0.661016010678758,0.69,0.51,1.54883724956855e-118,"0","Vcan"
"Zfp36l1",6.81986034769397e-123,0.786251527160684,0.599,0.425,2.29802014275896e-118,"0","Zfp36l1"
"Dab2",7.91632084765038e-123,0.844354908057889,0.548,0.363,2.66748347282427e-118,"0","Dab2"
"Spon2",2.46988314982093e-122,1.32816659436324,0.257,0.115,8.3225182616366e-118,"0","Spon2"
"Ccnd1",7.19260239378148e-121,0.481043818450443,0.784,0.579,2.42361930260861e-116,"0","Ccnd1"
"Fos",3.09423977403713e-111,0.699243215987697,0.738,0.593,1.04263503425955e-106,"0","Fos"
"Oaf",5.75363166781001e-108,0.752116647920067,0.555,0.381,1.93874372678526e-103,"0","Oaf"
"Lamb1",6.35868815560827e-107,0.872927157278467,0.446,0.277,2.14262356091376e-102,"0","Lamb1"
"Nr2f1",4.47195902203247e-105,1.11760367459897,0.308,0.163,1.50687131206406e-100,"0","Nr2f1"
"Timp2",1.12265758117997e-104,0.724713441433254,0.592,0.419,3.78290698554404e-100,"0","Timp2"
"Peak1",4.37325366415853e-103,0.733613165728171,0.556,0.385,1.47361155467486e-98,"0","Peak1"
"Vcam1",1.87743205515533e-102,0.833819833561849,0.48,0.313,6.3261950530514e-98,"0","Vcam1"
"Apbb2",3.69157228980491e-102,0.616201047283836,0.646,0.474,1.24391219877266e-97,"0","Apbb2"
"Socs3",2.91825059748059e-98,0.952675895928082,0.403,0.248,9.8333372132706e-94,"0","Socs3"
