"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Col1a2",0,1.13157967441841,0.778,0.484,0,"0","Col1a2"
"Nfkb1",0,1.24975462131134,0.764,0.494,0,"0","Nfkb1"
"Hmga2",0,0.744792338869424,0.968,0.829,0,"0","Hmga2"
"Spp1",0,0.681928753194452,0.996,0.963,0,"0","Spp1"
"S100a4",1.11810892759585e-266,0.641954616947538,0.953,0.798,3.76757984242698e-262,"0","S100a4"
"Sox9",8.87345440333018e-231,1.20418514027932,0.549,0.297,2.98999919574614e-226,"0","Sox9"
"Il1rl1",1.59863194027863e-223,0.849711490771204,0.773,0.541,5.38675018596288e-219,"0","Il1rl1"
"Trib1",1.40675332155539e-219,1.00384367616749,0.625,0.371,4.74019599231306e-215,"0","Trib1"
"Aebp1",4.63458624889283e-204,0.831508338797841,0.709,0.464,1.56167018242693e-199,"0","Aebp1"
"Pmepa1",8.63683731305827e-190,0.676961999408939,0.868,0.703,2.91026870100812e-185,"0","Pmepa1"
"Rnf217",5.20375892549908e-174,1.1646099913654,0.477,0.265,1.75345860753617e-169,"0","Rnf217"
"Nfkbia",4.60789467107753e-171,0.444829844519491,0.845,0.629,1.55267618836629e-166,"0","Nfkbia"
"Mast4",3.81928159692017e-170,0.727192013544295,0.782,0.577,1.28694512689822e-165,"0","Mast4"
"Col1a1",1.47905444928846e-168,1.34619161451547,0.464,0.257,4.98382187232239e-164,"0","Col1a1"
"Tiparp",7.61878891200563e-168,0.653111343664659,0.832,0.665,2.56722711178942e-163,"0","Tiparp"
"Fn1",1.38918961135966e-161,0.570502334512657,0.919,0.796,4.68101331443752e-157,"0","Fn1"
"Medag",2.10366101919239e-153,0.865049164901857,0.611,0.397,7.08849617027068e-149,"0","Medag"
"Sdc1",1.65853648028047e-151,1.42832918293505,0.303,0.134,5.58860452395307e-147,"0","Sdc1"
"Airn",3.06821586172157e-149,0.867179527526994,0.667,0.477,1.0338660167657e-144,"0","Airn"
"Col3a1",3.53391756590478e-147,1.38009202782294,0.318,0.148,1.19078886300727e-142,"0","Col3a1"
"Vcan",5.76345809513201e-147,0.715500200891669,0.708,0.506,1.94205483973568e-142,"0","Vcan"
"Pcdh7",1.43414088988323e-145,0.661322221873323,0.73,0.535,4.83248114255052e-141,"0","Pcdh7"
"Immp2l",8.69251331109017e-145,0.879753539957003,0.542,0.337,2.92902928530494e-140,"0","Immp2l"
"Zfp36l1",1.39208857262997e-143,0.841405793876823,0.614,0.422,4.69078165433395e-139,"0","Zfp36l1"
"Fos",8.93470435014947e-139,0.745453617086569,0.761,0.588,3.01063797782637e-134,"0","Fos"
"Ereg",9.50274430267477e-139,0.924734030437287,0.561,0.359,3.20204472022929e-134,"0","Ereg"
"Peak1",2.14871379136766e-129,0.812010092252122,0.577,0.381,7.24030599139248e-125,"0","Peak1"
"Spon2",2.60786685365654e-129,1.31837391009095,0.262,0.114,8.78746815008107e-125,"0","Spon2"
"Lgals1",3.76973423168003e-123,0.303238453853861,0.987,0.914,1.2702496467069e-118,"0","Lgals1"
"S100a6",8.11231422413368e-123,0.323470192474876,0.988,0.948,2.73352540096408e-118,"0","S100a6"
"Lamb1",9.78220664485571e-123,0.895481118818517,0.46,0.275,3.29621235105058e-118,"0","Lamb1"
"Sparc",2.20801882024914e-118,0.825118981447098,0.504,0.318,7.44014021671152e-114,"0","Sparc"
"Fstl1",1.47607194491477e-117,1.14273386240532,0.335,0.175,4.9737720255848e-113,"0","Fstl1"
"Gas1",1.51965547168378e-116,1.00885212296272,0.381,0.212,5.12063107738568e-112,"0","Gas1"
"Nr2f1",4.72653807761735e-116,1.13908952673612,0.317,0.161,1.59265427063394e-111,"0","Nr2f1"
"Dab2",1.08035558537094e-115,0.797606951670411,0.55,0.363,3.64036618046594e-111,"0","Dab2"
"Ppargc1a",4.45158209010812e-112,1.18366937100259,0.308,0.157,1.50000510108283e-107,"0","Ppargc1a"
"Cebpd",7.37649325278426e-110,1.18962058689908,0.287,0.142,2.48558316645818e-105,"0","Cebpd"
"Gm56906",7.00846965829442e-108,0.454151413362524,0.867,0.742,2.36157393605889e-103,"0","Gm56906"
"Lima1",1.2971206944762e-107,0.883929468376222,0.46,0.288,4.37077789210702e-103,"0","Lima1"
"Ccnd1",2.51592469239351e-107,0.447526437254858,0.781,0.581,8.47765984348919e-103,"0","Ccnd1"
"Vcam1",1.60489880905423e-105,0.796044161882451,0.489,0.311,5.40786702698914e-101,"0","Vcam1"
"Klf4",2.80364161383141e-103,0.529498465819618,0.776,0.628,9.44715078196632e-99,"0","Klf4"
"Eml1",3.30284418043219e-102,0.923503447404412,0.361,0.201,1.11292637503843e-97,"0","Eml1"
"Basp1",4.53060575652986e-100,0.591109497896956,0.663,0.492,1.5266329157203e-95,"0","Basp1"
"Socs3",5.30038779359466e-100,0.938257277325392,0.407,0.248,1.78601867092966e-95,"0","Socs3"
"Apbb2",6.79857077544995e-100,0.603216571465142,0.65,0.473,2.29084640849562e-95,"0","Apbb2"
"Ngf",8.4720341118535e-100,1.0040460744204,0.353,0.201,2.85473661433016e-95,"0","Ngf"
"St3gal1",1.69913815340983e-99,0.728541085983488,0.523,0.352,5.72541592172975e-95,"0","St3gal1"
"Irf1",4.63951376520294e-98,0.9376295414618,0.364,0.21,1.56333055832278e-93,"0","Irf1"
"Rbp1",2.15107927376153e-97,0.595872466230389,0.574,0.393,7.24827672086684e-93,"0","Rbp1"
"Plpp3",2.89372240799177e-94,0.78358605916961,0.45,0.285,9.75068702596908e-90,"0","Plpp3"
"Tnfaip6",6.58430001301723e-93,0.875440980902839,0.417,0.26,2.21864573238629e-88,"0","Tnfaip6"
"Antxr2",6.64573507744035e-92,0.96620487694961,0.36,0.211,2.2393468916943e-87,"0","Antxr2"
