"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"FHOD3",1.23552964127699e-185,1.02094137978266,0.715,0.484,7.27974064640401e-181,"0","FHOD3"
"GEM",2.31603475588455e-162,1.53349610025909,0.476,0.248,1.36460767816718e-157,"0","GEM"
"COX1",2.50568014251348e-134,0.414566618043729,1,0.955,1.47634673996894e-129,"0","COX1"
"CD44",2.97213296496046e-131,0.482899904949551,0.953,0.896,1.7511807429547e-126,"0","CD44"
"HMGA2",5.27206008684476e-111,0.772049609675482,0.698,0.529,3.10629780316893e-106,"0","HMGA2"
"SLC7A11",1.11798582466765e-104,0.711283202113857,0.75,0.605,6.5871724789418e-100,"0","SLC7A11"
"TNC",7.38893719194024e-100,1.27110312604942,0.49,0.318,4.35356179349119e-95,"0","TNC"
"TENM2",1.93458678435485e-95,0.695339590390525,0.64,0.456,1.13985853334188e-90,"0","TENM2"
"ITGB6",6.79026953364695e-90,0.568518680310728,0.812,0.719,4.00082680922479e-85,"0","ITGB6"
"ND4L",3.59451918303685e-89,0.44233502555165,0.902,0.773,2.11789070264531e-84,"0","ND4L"
"INHBA",4.37270220852883e-84,0.580056545771424,0.789,0.683,2.57639614126519e-79,"0","INHBA"
"CYTB",1.71012478129703e-80,0.296155925541057,0.994,0.918,1.00760552114021e-75,"0","CYTB"
"SPATS2L",1.91420750002737e-75,0.504953675870714,0.803,0.716,1.12785105901613e-70,"0","SPATS2L"
"EXT1",3.26470577119287e-75,0.373310789094787,0.959,0.902,1.92356464038684e-70,"0","EXT1"
"COX2",1.98585366301813e-74,0.257649032942273,1,0.951,1.17006497825028e-69,"0","COX2"
"ND4",6.13807705512344e-73,0.276076406820595,0.997,0.936,3.61655500087873e-68,"0","ND4"
"DST",1.62577596796721e-71,0.376533976047669,0.985,0.929,9.57907200326279e-67,"0","DST"
"LMNA",7.66878886400465e-69,0.56006738432582,0.742,0.652,4.51845039867154e-64,"0","LMNA"
"STK17A",8.75427425787391e-68,0.407616337603839,0.845,0.776,5.15801839273931e-63,"0","STK17A"
"CEBPD",1.58850560234831e-66,0.824039691868986,0.567,0.448,9.35947500903626e-62,"0","CEBPD"
"MAP3K4",5.33328662770365e-63,0.885981444006992,0.47,0.348,3.14237248104299e-58,"0","MAP3K4"
