"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"TTC39C1",5.00722319039874e-07,0.50503801938866,0.299,0.185,0.0295025590378294,"6","TTC39C"
"PSMA51",5.24320723306904e-07,0.39850976347043,0.48,0.327,0.0308929770172428,"6","PSMA5"
"HMG20B1",5.24908692818058e-07,0.402520968833482,0.364,0.233,0.03092762018084,"6","HMG20B"
"PPP4C",5.35283260321088e-07,0.371534371631856,0.426,0.281,0.0315388896981185,"6","PPP4C"
"TUFM1",5.44395903559557e-07,0.458360846010459,0.337,0.216,0.0320758066377291,"6","TUFM"
"ADAM121",5.45969146557304e-07,0.490363884944953,0.278,0.168,0.0321685021151564,"6","ADAM12"
"RIF1",5.54949458650378e-07,0.300437921405823,0.41,0.264,0.0326976221036803,"6","RIF1"
"ETFB1",5.65171518391557e-07,0.3691019362185,0.477,0.326,0.0332999058636306,"6","ETFB"
"NDUFB10",5.745525981137e-07,0.406388160033713,0.456,0.311,0.0338526390808592,"6","NDUFB10"
"HDAC1",5.80308233807196e-07,0.451064525464651,0.34,0.216,0.03419176113592,"6","HDAC1"
"ZC3HAV1",5.92846363138702e-07,0.601816693827532,0.323,0.204,0.0349305077161324,"6","ZC3HAV1"
"SMARCC11",6.24284148112303e-07,0.325715033851203,0.58,0.419,0.0367828220067769,"6","SMARCC1"
"NDUFB111",6.29474803470763e-07,0.413150482947319,0.536,0.383,0.0370886554204973,"6","NDUFB11"
"CNN3",6.31581431358253e-07,0.432156060210754,0.318,0.198,0.0372127779356283,"6","CNN3"
"PCM1",6.51251750203734e-07,0.357011897413613,0.48,0.328,0.038371753122004,"6","PCM1"
"CNIH4",6.62931376101959e-07,0.365917518962779,0.429,0.285,0.0390599166799274,"6","CNIH4"
"SPCS1",6.68135567388531e-07,0.313175081764513,0.518,0.355,0.0393665476305323,"6","SPCS1"
"MRPS18C",6.96212629589046e-07,0.547010326366128,0.261,0.157,0.0410208481353866,"6","MRPS18C"
"DCAF131",7.12481958919286e-07,0.412969536235399,0.253,0.15,0.0419794370195243,"6","DCAF13"
"ARHGAP291",7.42859606313582e-07,0.419514694521667,0.377,0.251,0.0437692880039962,"6","ARHGAP29"
"PEX141",7.6419293289374e-07,0.455426376237723,0.253,0.151,0.0450262476060992,"6","PEX14"
"CRTAP",7.6585562277345e-07,0.367687313149581,0.291,0.177,0.0451242132938117,"6","CRTAP"
"PHIP1",7.71313618012798e-07,0.289725031776334,0.42,0.274,0.0454457983733141,"6","PHIP"
"ECI11",7.86250236254115e-07,0.533310600528291,0.294,0.184,0.0463258639200925,"6","ECI1"
"ATP5F1C1",7.87234233169787e-07,0.329287540788723,0.585,0.415,0.0463838410183638,"6","ATP5F1C"
"MRPS22",7.8834648805466e-07,0.466133042912366,0.267,0.161,0.0464493750761806,"6","MRPS2"
"DAZAP1",8.08824403733051e-07,0.388266760420684,0.272,0.163,0.0476559338679514,"6","DAZAP1"
"MAPK14",8.13942637352292e-07,0.401309035540473,0.272,0.164,0.047957500192797,"6","MAPK14"
"NDUFB71",8.2005250406664e-07,0.432144976472495,0.437,0.299,0.0483174935396064,"6","NDUFB7"
"COX141",8.38794863082281e-07,0.434065610430087,0.278,0.17,0.049421793332808,"6","COX14"
"DDX211",8.44472928952819e-07,0.279240157113528,0.722,0.527,0.0497563449739001,"6","DDX21"
"CDC5L",8.44781923680166e-07,0.383671730080191,0.345,0.218,0.0497745509432354,"6","CDC5L"
"PKP41",8.6455621724012e-07,0.329473279909015,0.536,0.371,0.0509396523197879,"6","PKP4"
"ATP6V1A1",9.08405480699749e-07,0.417205592290191,0.318,0.201,0.0535232509228292,"6","ATP6V1A"
"ATP5F1E1",9.67517319905264e-07,0.332857720489087,0.555,0.375,0.0570061204888181,"6","ATP5F1E"
"ENY2",9.82475951772457e-07,0.347120869861358,0.504,0.346,0.0578874830784332,"6","ENY2"
"COPS9",9.91871890677072e-07,0.356109397216997,0.388,0.256,0.0584410917986931,"6","COPS9"
"SIPA1L11",1.01140317377083e-06,0.357465831060685,0.642,0.48,0.0595918749985773,"6","SIPA1L1"
"ZRANB21",1.01276510055807e-06,0.378753272237822,0.404,0.271,0.0596721197248816,"6","ZRANB2"
"BRK1",1.01335574285256e-06,0.403402636385415,0.423,0.281,0.0597069203688731,"6","BRK1"
"ACSL3",1.02620716047932e-06,0.314411740374946,0.429,0.281,0.0604641258954415,"6","ACSL3"
"GTF2H5",1.06454545299022e-06,0.577526468864942,0.27,0.167,0.0627230180901839,"6","GTF2H5"
"BDP1",1.11969029219023e-06,0.335871488424476,0.456,0.308,0.0659721520158486,"6","BDP1"
"HIGD1A1",1.16736497614014e-06,0.348859988090423,0.28,0.171,0.0687811443941771,"6","HIGD1A"
"BST22",1.33257068274956e-06,0.251152791119756,0.765,0.568,0.0785150646276041,"6","BST2"
"ADD32",1.3538042002365e-06,0.279533165997279,0.358,0.229,0.0797661434779344,"6","ADD3"
"SNHG72",1.37500971816925e-06,0.312889930209918,0.531,0.374,0.0810155725945323,"6","SNHG7"
"DHX29",1.3751946659837e-06,0.486739414979357,0.256,0.154,0.0810264697197598,"6","DHX29"
"MIA3",1.43034588188886e-06,0.495351520592316,0.253,0.152,0.0842759793608916,"6","MIA3"
"BMPR1A",1.5011829928466e-06,0.395613763876116,0.251,0.149,0.0884497019385217,"6","BMPR1A"
"SUMO11",1.5090381146136e-06,0.406465634411776,0.404,0.269,0.0889125257130332,"6","SUMO1"
"ISCU",1.51065699007992e-06,0.467646035767388,0.253,0.154,0.089007909855509,"6","ISCU"
"DAP31",1.52634263731792e-06,0.395709311893964,0.307,0.194,0.089932108190772,"6","DAP3"
"TXN21",1.56726059145968e-06,0.363378387919047,0.305,0.19,0.0923429940488041,"6","TXN2"
"SRSF3",1.57149398427133e-06,0.279316424606126,0.666,0.483,0.092592425553267,"6","SRSF3"
"SAV1",1.57299755902542e-06,0.389419780715553,0.264,0.16,0.0926810161777779,"6","SAV1"
"MLEC1",1.59799493970533e-06,0.326364993578589,0.364,0.231,0.0941538618474379,"6","MLEC"
"HNRNPDL",1.60666841654031e-06,0.269096856308327,0.833,0.66,0.0946649031025553,"6","HNRNPDL"
"RPL3P41",1.60869052227913e-06,0.459114316537825,0.278,0.173,0.0947840455726866,"6","RPL3P4"
"DPP71",1.61420312913414e-06,0.435005221874821,0.305,0.192,0.0951088483685836,"6","DPP7"
"MRPL541",1.78254449061088e-06,0.402598009477834,0.305,0.191,0.105027521386793,"6","MRPL54"
"UBA2",1.79860191732935e-06,0.352910113075396,0.356,0.232,0.105973624969045,"6","UBA2"
"RFX31",1.80794219835978e-06,0.385116535168808,0.383,0.257,0.106523954327358,"6","RFX3"
"THOC71",1.82919762040382e-06,0.268162591762236,0.501,0.342,0.107776323794193,"6","THOC7"
"SNRPB2",1.83069966369303e-06,0.332303410187206,0.356,0.232,0.107864824184793,"6","SNRPB2"
"HSBP1L1",1.92166349849139e-06,0.303829463118927,0.334,0.213,0.113224413331113,"6","HSBP1L1"
"NDUFA121",1.97988768935622e-06,0.295486174453626,0.55,0.383,0.116654982656869,"6","NDUFA12"
"RPL26L11",1.98458460847983e-06,0.474276576068448,0.256,0.157,0.116931725131632,"6","RPL26L1"
"MCPH11",1.98682617312351e-06,0.456755235216143,0.267,0.164,0.117063798120437,"6","MCPH1"
"TPR",2.04600809883427e-06,0.263744921126748,0.677,0.495,0.120550797183315,"6","TPR"
"IMMT",2.05432001352377e-06,0.290010676579145,0.356,0.227,0.121040535196821,"6","IMMT"
"NDUFB9",2.10276955071267e-06,0.284184940006228,0.596,0.418,0.123895181927991,"6","NDUFB9"
"UTP23",2.17704005666731e-06,0.512309303294914,0.251,0.153,0.128271200138838,"6","UTP23"
"EPS81",2.25893822503663e-06,0.313773576845394,0.472,0.328,0.133096640219158,"6","EPS8"
"ARID1B",2.26673180333335e-06,0.257594493563459,0.493,0.337,0.133555837852401,"6","ARID1B"
"SF3B61",2.27675238358312e-06,0.312414683458988,0.585,0.421,0.134146250440717,"6","SF3B6"
"MRPL471",2.43000205450354e-06,0.375685827462091,0.323,0.208,0.143175721051349,"6","MRPL47"
"NOL7",2.4577777869624e-06,0.340808632923286,0.493,0.346,0.144812267207825,"6","NOL7"
"DCAF10",2.63455519679479e-06,0.415224735487937,0.337,0.221,0.155227992195149,"6","DCAF10"
"DDX1",2.96079801905519e-06,0.351320818664474,0.267,0.163,0.174450219282732,"6","DDX1"
"PSMB81",2.97671575683233e-06,0.368624088833929,0.367,0.243,0.175388092392561,"6","PSMB8"
"VCP",3.02204199318055e-06,0.26656474312604,0.712,0.532,0.178058714238198,"6","VCP"
"LARP4B",3.07392754807948e-06,0.302208714659748,0.404,0.271,0.181115811132843,"6","LARP4B"
"TRIM44",3.10938178225454e-06,0.268777472135139,0.431,0.289,0.183204774610438,"6","TRIM44"
"VKORC1",3.18944536393697e-06,0.357220473939929,0.256,0.157,0.187922120843166,"6","VKORC1"
"VWA82",3.23415148207934e-06,0.250091237492584,0.434,0.291,0.190556205324115,"6","VWA8"
"SRPK2",3.40796392403189e-06,0.254566735504403,0.472,0.319,0.200797234403959,"6","SRPK2"
"DCAF7",3.47987311841966e-06,0.463750187897228,0.264,0.163,0.205034124137286,"6","DCAF7"
"GNL31",3.57860878933848e-06,0.313995295403258,0.394,0.262,0.210851629867823,"6","GNL3"
"NAA15",3.59063626919004e-06,0.47890991676752,0.307,0.2,0.211560288980677,"6","NAA15"
"GAPVD1",3.66373999460524e-06,0.474306995989537,0.307,0.201,0.215867560482141,"6","GAPVD1"
"MZT2A",3.70674975219483e-06,0.31988365929797,0.526,0.381,0.218401695399319,"6","MZT2A"
"NIFK1",3.75824644118222e-06,0.328165402723208,0.439,0.304,0.221435880314457,"6","NIFK"
"LAMTOR51",3.92231588973054e-06,0.318944529801572,0.445,0.304,0.231102852222924,"6","LAMTOR5"
"CHD1",3.95722174304457e-06,0.262676557185068,0.509,0.352,0.233159505100186,"6","CHD1"
"HECTD1",4.14978965767896e-06,0.358025885784251,0.337,0.219,0.244505606630444,"6","HECTD1"
"PSMD1",4.16241713360961e-06,0.377172053749008,0.472,0.336,0.245249617512278,"6","PSMD1"
"USP14",4.22929747114808e-06,0.269665255815613,0.458,0.314,0.249190207000045,"6","USP14"
"CTSC2",4.34865392972739e-06,0.278915569220645,0.771,0.635,0.256222689539538,"6","CTSC"
"CLU1",4.46463342038622e-06,0.536548100983934,0.466,0.361,0.263056201129156,"6","CLU"
"CAND1",4.61832903542448e-06,0.32087302643594,0.307,0.195,0.272111946767211,"6","CAND1"
"CSTA1",4.67459563700401e-06,0.270475670950259,0.391,0.259,0.275427174932276,"6","CSTA"
"RB11",4.70602492514035e-06,0.271585013604278,0.353,0.229,0.277278988589269,"6","RB1"
"FUS",4.75347670004761e-06,0.253719457007827,0.717,0.54,0.280074847166805,"6","FUS"
"MICOS131",4.86580502030755e-06,0.370419953789928,0.337,0.225,0.286693231796521,"6","MICOS13"
"SUCLG21",4.94221121521503e-06,0.346352845776252,0.275,0.171,0.29119508480047,"6","SUCLG2"
"AIG11",5.10631514832379e-06,0.321662835967913,0.367,0.242,0.300864088539238,"6","AIG1"
"SAFB",5.38871715513737e-06,0.351888429821746,0.267,0.165,0.317503214780694,"6","SAFB"
"PBX31",5.41133918113669e-06,0.306329316962406,0.307,0.195,0.318836104552574,"6","PBX3"
"ELOC",5.53292825769845e-06,0.302805452932598,0.496,0.352,0.326000132943593,"6","ELOC"
"KIF2A",5.54409552364731e-06,0.296687565689988,0.348,0.228,0.3266581082533,"6","KIF2A"
"VEGFC3",5.72466986253151e-06,0.262287113349698,0.412,0.281,0.337297548300356,"6","VEGFC"
"SYNCRIP",5.90314242468682e-06,0.301637405282332,0.604,0.443,0.347813151662547,"6","SYNCRIP"
"NDUFA71",6.43616341955868e-06,0.388188315695041,0.353,0.238,0.379218748680398,"6","NDUFA7"
"SIPA1L31",6.62827063181196e-06,0.274277910948791,0.318,0.205,0.39053770562636,"6","SIPA1L3"
"UQCRC1",6.67288369785018e-06,0.301828924320285,0.38,0.252,0.393166307477332,"6","UQCRC1"
"FAM210A",6.73468842541725e-06,0.297274826802117,0.264,0.163,0.396807842025584,"6","FAM210A"
"LY6K1",6.99541764893453e-06,0.30140895118848,0.474,0.331,0.412170007875223,"6","LY6K"
"PSMD7",7.13098884480679e-06,0.285005053572323,0.507,0.363,0.420157862736016,"6","PSMD7"
"UGGT2",7.1605446852063e-06,0.36423869385701,0.426,0.295,0.421899292852355,"6","UGGT2"
"SMU1",7.30107888373389e-06,0.299653391831839,0.315,0.203,0.430179567829601,"6","SMU1"
"EIF2S2",7.37992679053495e-06,0.342267910427754,0.542,0.394,0.434825286498319,"6","EIF2S2"
"NT5C3A",7.49009106100519e-06,0.327151563812128,0.251,0.154,0.441316165314426,"6","NT5C3A"
"CREB5",7.57612142269092e-06,0.326640634526119,0.28,0.177,0.446385074224949,"6","CREB5"
