"","Cluster","Epithelial","Fibroblast","EMT","Phenotype"
"g0","0",12.3420179070903,0.113791510665282,0.18014355705834,"Epithelial"
"g1","1",10.4069779934243,0.31233974562008,0.168006833413623,"Epithelial"
"g2","2",18.3613479323024,0.649845593038234,0.165004901155258,"Epithelial"
"g3","3",9.98411297015628,0.0599163350087797,0.112037858643789,"Epithelial"
"g4","4",32.0102877006721,0.0883242662578766,0.0983732319746903,"Epithelial"
"g5","5",16.0513455514804,0.405420338166061,0.120531534322315,"Epithelial"
"g6","6",7.37892403261466,0.151991981394976,0.116571763028106,"Epithelial"
"g7","7",12.9231101091584,3.09616986828062,0.249443349315697,"Epithelial"
