"status","p_value","morans_test_statistic","morans_I","gene_short_name","q_value"
"OK",0,165.294277573082,0.329814530829318,"RPL7",0
"OK",0,117.306850337391,0.233820229026373,"MCM3",0
"OK",0,125.025070100939,0.249448162325881,"RPL31",0
"OK",0,75.6148804770045,0.150829157669409,"IL1RL1",0
"OK",0,84.3476504935814,0.16791923341965,"COL3A1",0
"OK",0,58.6514433832909,0.116925516366664,"COL5A2",0
"OK",0,39.7417223040863,0.0792438737163431,"HSPD1",0
"OK",0,40.8548641074741,0.081458934846781,"HSPE1",0
"OK",0,130.28306591276,0.259922999281524,"EEF1B2",0
"OK",0,75.1325027488495,0.149883290923091,"FN1",0
"OK",0,112.80389595555,0.223401852000977,"GM57184",0
"OK",0,115.478573491119,0.230393165205036,"RPL37A",0
"OK",0,60.7808697710301,0.121140435173243,"NCL",0
"OK",0,104.582760243616,0.208620817682473,"PTMA",0
"OK",0,40.0726820703191,0.0798949418956009,"ARL4C",0
"OK",0,54.7940220909976,0.10913383570513,"TNNT2",0
"OK",0,68.1142949001822,0.135359705957283,"ASPM",0
"OK",0,74.036798560672,0.147678580279381,"PTGS2",0
"OK",0,67.099812835933,0.13383687781723,"GAS5",0
"OK",0,45.2513023798145,0.0894763429219844,"NUF2",0
"OK",0,89.4123894309241,0.177873013105408,"B930036N10RIK",0
"OK",0,56.732760879083,0.113160763042009,"H3F3A",0
"OK",0,149.541495288202,0.297242454459692,"CENPF",0
"OK",0,74.6714364748474,0.148946154073535,"VIM",0
"OK",0,46.581784114328,0.0928973994445925,"TUBB4B",0
"OK",0,67.9004837305099,0.135446398406599,"RPL7A",0
"OK",0,72.4185319853627,0.14355065162577,"LCN2",0
"OK",0,120.416320349409,0.240242216349579,"RPL12",0
"OK",0,150.791779583003,0.300786237448136,"HSPA5",0
"OK",0,46.0261023975198,0.0917815466460768,"RPL35",0
"OK",0,61.3151049767015,0.122295204986836,"CWC22",0
"OK",0,50.1349114051675,0.0999487816766374,"CD44",0
"OK",0,66.773494293662,0.132757009931854,"KNL1",0
"OK",0,49.2421787852775,0.0981940425260347,"SERF2",0
"OK",0,92.5851322294319,0.184653451464994,"B2M",0
"OK",0,40.5592416925729,0.0808131527826554,"EID1",0
"OK",0,56.2837576445372,0.111742084182958,"CKAP2L",0
"OK",0,59.5256635347071,0.118655726333436,"PCNA",0
"OK",0,52.6210392207422,0.104875446119264,"CST3",0
"OK",0,145.615653036378,0.289941874626126,"SLPI",0
"OK",0,176.798256938645,0.351846041544264,"UBE2C",0
"OK",0,63.8217062434198,0.127319748669404,"CEBPB",0
"OK",0,81.6495303509379,0.162875127552728,"PMEPA1",0
"OK",0,49.4689014318001,0.098663622949959,"GNAS",0
"OK",0,120.173892291361,0.239760118568467,"RPS21",0
"OK",0,45.9130964500455,0.0915121085060308,"ZFHX4",0
"OK",0,96.1121749576038,0.191490847225673,"CP",0
"OK",0,78.1067313826219,0.155221032652079,"CCNA2",0
"OK",0,46.5295573586383,0.0927544378914521,"MAML3",0
"OK",0,45.1822393529041,0.090077949380709,"TM4SF1",0
"OK",0,57.0289805480614,0.113749573818981,"TIPARP",0
"OK",0,124.989267704047,0.249260883287792,"SMC4",0
"OK",0,63.4487947258525,0.12620655568119,"PDGFC",0
"OK",0,177.435501109341,0.354035890084396,"RPS3A1",0
"OK",0,45.559520924606,0.0908726302528679,"LMNA",0
"OK",0,44.9230101949556,0.089515944920668,"FDPS",0
"OK",0,51.5571889015284,0.102804467609016,"CKS1B",0
"OK",0,75.9930603364188,0.151601190581134,"RPS27",0
"OK",0,195.408153290523,0.389861228624986,"S100A4",0
"OK",0,181.384654032058,0.361755314821373,"S100A6",0
"OK",0,83.54659350086,0.165551616904482,"S100A8",0
