"","logFC","logCPM","F","PValue","FDR"
"CCL5",-5.60083566243103,5.53873267049138,16.3686510507635,6.32427961107602e-05,0.808575769333478
"FLYWCH1",-5.46153550830668,5.45092571401122,15.2300880830578,0.000112670650488005,0.808575769333478
"MMAB",5.40365584602535,5.37323535337373,15.1694180745394,0.000116206340824652,0.808575769333478
"CHD7",-5.43687120964859,5.42941545176029,15.0914705020511,0.000120908526255473,0.808575769333478
"BLZF1",3.49275007693959,5.66326353266313,13.2586069994639,0.000308941778548446,1
"RAB33B",3.48375226951857,5.66650722021179,12.9949430276415,0.000353946717898962,1
"NR4A1",-1.503780896409,7.36760031278052,12.5867380816794,0.000437244538257616,1
"GM37202",5.09017015701503,5.20198538955058,12.1034295795164,0.000561954382420791,1
"TMEM175",2.85233079459878,5.84516077964837,12.047148689931,0.000578229362079717,1
"SARAF",2.33759645474914,6.20950208718279,12.0060450858323,0.000590840228443829,1
"NCOA2",1.33730918425736,7.64675542874209,11.9248107441677,0.000616472535177417,1
"ZFP277",2.03939973288106,6.45929922927086,11.6960490484541,0.000694397852348229,1
"RHOB",1.30830263969767,7.66428859128529,11.6876531399211,0.00069750692617314,1
"HERC6",-3.33245477939369,5.65872648485849,11.6549622104882,0.000709216780944345,1
"TBC1D12",-2.48158188101717,6.09852745532472,11.5832563022065,0.000736367510613268,1
"MYO1E",-1.44213750570185,7.32669410077358,11.4164468263393,0.000803540859652643,1
"TIMP2",-1.2571456748362,7.78909909683581,11.3227623637352,0.000843852758844726,1
"SNHG6",1.14728106479066,8.09407458524081,11.1544251411184,0.000921532233391733,1
"TMEFF2",-5.0145487075193,5.20486006567063,11.0361649890913,0.000980616905416906,1
"HOXA9",-5.0145487075193,5.20486006567063,11.0361649890913,0.000980616905416906,1
"MRPL4",-4.9957117950567,5.18843780551891,11.0057623264456,0.000996363705357017,1
"TNFSF9",2.74835264561328,5.79126046479078,10.9803380205004,0.00100916836886128,1
"ADAM8",-4.98948224003192,5.18299823498308,10.9226753145758,0.00104072556343356,1
"SLC25A33",1.99081110480056,6.42023988156025,10.8925419199898,0.00105701354007079,1
"SNX8",3.25649232440905,5.52449141485192,10.7712605593944,0.00112633107519278,1
"EPB41L5",3.25397392875331,5.52238892482685,10.7107336915393,0.00116272266341571,1
"SASS6",4.90396510309208,5.10855536975515,10.5559293485785,0.0012618655022225,1
