"","logFC","logCPM","F","PValue","FDR"
"SAA3",-2.79177007184877,6.89221748641194,28.7184141852376,8.05596724409477e-07,0.0215497123779535
"BAG4",-5.62675816344399,4.06844037504568,18.3215330037726,5.25742554779195e-05,0.60966618401953
"UBR1",5.59581635150431,4.05717664945856,17.7046776170736,6.83737776470501e-05,0.60966618401953
"MRTFB",5.49549071969835,4.00152186157123,15.944233004715,0.000146526927197896,0.979898825635926
"6330418K02RIK",-3.64000664114335,4.33613011270642,15.3424227859632,0.000187560148419314,1
"USP30",5.33716785333936,3.90440361143125,14.8904602609789,0.00023325536859593,1
"TRIM59",-3.53275331843697,4.26699894556341,14.3259271130209,0.000295419679495874,1
"CEP131",-5.21945197430736,3.83169631303444,14.0192737322946,0.000344490220117057,1
"PTGES2",-5.21673987809232,3.82953436624712,13.7696562667773,0.000385547067172372,1
"GM56546",5.19091655979951,3.8236442532434,13.5758334712039,0.000420761468607588,1
"MED15",-2.8670906322566,4.4428350640386,12.8803912911718,0.000568867642631139,1
"METAP1D",-5.05823694125161,3.74708093549858,12.4368156515051,0.000708349016930476,1
"ARK2N",-5.05550135934765,3.74490495127112,12.4310126942138,0.000710245050848442,1
"FKBP15",-5.05550135934765,3.74490495127112,12.4310126942138,0.000710245050848442,1
"LRRC75A",-3.41810869430777,4.20340260418034,12.1998126853305,0.000780912572141066,1
"PIGM",5.04352034053006,3.75057483704545,11.8622625354294,0.000924135223468953,1
"TRIP13",-3.31932020346562,4.14759713550856,11.079490811469,0.00132041296022256,1
"SOS2",-2.19767268790814,4.70140644425989,10.7799112008669,0.00152546103251297,1
"RAB26OS",2.63897711754104,4.32592938325047,10.6545347306895,0.00161319613957794,1
"ERBIN",-1.2428921772883,6.22085225092173,10.5584834149174,0.00170003068822443,1
"UHMK1",-4.87020083190535,3.65247172118025,10.5225265582275,0.00173644608891432,1
"ZBTB37",-4.87020083190535,3.65247172118025,10.5225265582275,0.00173644608891432,1
"MFAP3",-4.87020083190535,3.65247172118025,10.5225265582275,0.00173644608891432,1
