"","logFC","logCPM","F","PValue","FDR"
"LCN2",4.28026232655203,7.93504391981376,149.327199306325,1.40230198439287e-25,8.26236329204281e-21
"CST6",2.2263354666468,7.36313983694256,57.2030848402854,1.76092055895765e-12,5.18767196668924e-08
"AKAP12",1.78515482672087,9.21301134805827,56.0505549965826,2.7589552963321e-12,5.41858820199624e-08
"SOD2",1.78791132906278,7.70972648498721,45.1746321606395,2.14794509280782e-10,3.16392312170592e-06
"MTSS1",1.63097870980724,8.46697878330246,43.3400804083866,4.57735535497826e-10,5.39395555030638e-06
"FAM83A",1.77711812952277,7.52782137918935,40.7533458460446,1.34566863731174e-09,1.32144660184013e-05
"ABCA13",3.86267704630136,4.94126125136629,39.4001267417161,2.35596989307991e-09,1.98305351571812e-05
"KRT6B",1.5928295086443,7.67269305179816,36.7238605036383,7.42291723062219e-09,5.46697854035324e-05
"CXCL8",1.87025814859422,6.56893587844896,34.5495427132018,1.89312920714199e-08,0.000123936858760896
"IL1B",1.3689519415752,8.66303123271741,34.0483054755621,2.3525998427521e-08,0.000126946975778266
"CALB2",2.34270605383077,5.99360791729696,34.0317595502277,2.37002161161053e-08,0.000126946975778266
"VIM",1.87015094627517,6.56292220788448,32.0845102281124,5.54382917173582e-08,0.000272202012332229
"TNFAIP2",1.63918877154767,7.02879805677945,30.300023166988,1.2176142328688e-07,0.000551860235389457
"SGPP2",3.261818544909,4.78885253387608,29.6982451580028,1.5843719153493e-07,0.000666794237517007
"IFIT2",-3.39324923801248,4.51518755165162,27.2282304834375,4.79111827414757e-07,0.00188195125808517
"CDH4",2.08924446362683,5.69497252044378,26.9540969446232,5.43970254659611e-07,0.00200317046278402
"STRA6",1.73939464972926,6.08627073541068,25.0992270771411,1.26294184108794e-06,0.00428458520311012
"MBOAT2",1.34043450509181,7.46295005883628,24.9698891118659,1.33974103724084e-06,0.00428458520311012
"PTPRZ1",-2.51937324195749,4.82308993237647,24.902016595371,1.38165510623035e-06,0.00428458520311012
"ITGA5",2.21088523098974,5.36375035862697,24.3934091405451,1.74444663773427e-06,0.00513913979476517
"KRT81",1.10938458277889,9.93993096337523,24.1852095657119,1.91930295369503e-06,0.00538501571579576
"TMPRSS4",2.03235132461859,5.56220242333094,23.7920457086391,2.29984722512664e-06,0.00615940902293007
"FGFBP1",-4.37353846546049,3.82376605582631,23.614880929263,2.48545936880771e-06,0.00636709852218044
"PIM1",1.60637509995418,6.39968041576248,22.912221743706,3.45190555703538e-06,0.0078522529784881
"C15orf48",6.31568879552678,3.75407439620006,22.914463773664,3.46083709034758e-06,0.0078522529784881
"WNT9A",2.27395545374742,5.16110682724411,22.9037535934193,3.46501319485218e-06,0.0078522529784881
"SAA1",1.76829024324734,5.80195259483042,21.731630658405,5.97498973219464e-06,0.0130387553711448
"LOXL2",1.45405183666627,6.68699584468308,21.3719996598911,7.06727300452624e-06,0.0148715616223816
"FILIP1L",-1.73054199488565,5.54649649606137,20.6081609433507,1.0110608931045e-05,0.0201136008429342
"PLAUR",1.27890658812733,7.30997361321657,20.5807563196558,1.02411409587241e-05,0.0201136008429342
"AKR1B10",-1.44326413850947,6.27726525816277,20.3359054052271,1.14915311946632e-05,0.0218413231609534
"HMGA1",0.993357759000478,9.5046819063949,20.0031013441419,1.34432452034811e-05,0.0247523752309096
"ALDH1A3",1.06009180412921,8.43700019548796,19.7903003076483,1.48644889658728e-05,0.0265398693899766
"BCL2A1",6.03579293313935,3.55821560397722,19.6236005969755,1.61284419370822e-05,0.0276871000742106
"HAS2",1.20425108578835,7.26381357453015,19.576420227262,1.64468517073552e-05,0.0276871000742106
"MMP13",1.8882294091286,5.37918740218491,19.4839994988885,1.71836276768102e-05,0.028123870631046
"NRG1",-1.01507914174084,8.68163263058212,19.0755594063362,2.08553874630343e-05,0.0327512620782305
"CTHRC1",1.09532218450397,7.90796273851695,19.044104457694,2.11693687325707e-05,0.0327512620782305
"ANTXR2",1.21390065572424,7.20730601155055,18.9639686628208,2.19911331427081e-05,0.0327512620782305
"FERMT1",1.17230679809868,7.41235904057143,18.9408265510159,2.22343938073527e-05,0.0327512620782305
"SH3KBP1",1.0803736499107,7.98108369361235,18.8152837305052,2.36025249451601e-05,0.0339185553602155
"PLAU",1.05024125757122,8.21651537102632,18.6540130618853,2.54862850398054e-05,0.0357536170129841
"TREM1",2.46011522254485,4.68962020686148,18.4674760588372,2.78388684436356e-05,0.0381457239232328
"DTX2",2.22791024107888,4.84158223845748,18.2415020311351,3.10223442151491e-05,0.0415417391171951
"OAF",1.54297414834888,5.89731731511997,17.9932125772733,3.49439605328699e-05,0.0457532923243709
"CENPF",-3.4389974846367,3.8220939686051,17.6381833113788,4.12959835820219e-05,0.0528947685359289
"IL11",2.56142559282553,4.5546697176864,17.4621475499281,4.50394347742664e-05,0.0564622020616974
"MKI67",-3.9914180878111,3.56776884563537,17.303168516276,4.85531317316621e-05,0.0595989692006152
"UPP1",1.20079666085298,6.81735279416742,17.0392497817311,5.52577908033753e-05,0.0664446741660179
"CCL20",1.79585442297122,5.280445797778,16.9507351882832,5.76706127909464e-05,0.0667577373503985
"MYO16",5.83672561547956,3.42232019320119,16.9509852215633,5.7784192207575e-05,0.0667577373503985
"GPRC5A",1.08771734240846,7.50082887857496,16.8015219161645,6.19749570292707e-05,0.0702223936185506
"LOC100132154",1.12700886900202,7.32394479543487,16.665021229765,6.6201204548041e-05,0.073595754188124
"MMP28",1.86001036446148,5.15048719609776,16.6256798759056,6.74745282688814e-05,0.0736222075111573
"F3",0.898304575347662,9.30444514762871,16.0867062082862,8.76161852812052e-05,0.0938608297594293
"DOCK5",0.931616149849152,8.51477917718752,15.89228793348,9.63006656801344e-05,0.101322057533456
"SAA2",3.21941754753088,3.99920476799346,15.803042982732,0.00010031474694024,0.103693769995069
"SPOCK1",2.87470994252755,4.19142786267895,15.6954786560997,0.000105789103843321,0.107416179525007
"ADGRF1",3.8523832484552,3.78224063781378,15.6607177255623,0.000107603553845818,0.107416179525007
"DIAPH3",-3.82892127619164,3.45990694364386,15.5803906649327,0.000111893468079501,0.107416179525007
"SERPINB1",1.02631206407202,7.63093431012498,15.5713441129006,0.000112596955857832,0.107416179525007
"CLDN4",1.44248192032094,5.94882768711642,15.563493789191,0.000113031281917013,0.107416179525007
"SEMA7A",1.55948252704766,5.5263955395171,15.4204373614817,0.000121208285527367,0.111534775941469
"CDCP1",1.03034283175081,7.6783263306844,15.4153226498112,0.000121505980818266,0.111534775941469
"CYP11A1",2.44031918979758,4.4094758436076,15.3880010910066,0.000123044135033867,0.111534775941469
"MAP1B",1.93985415175151,4.89974224992237,15.3529683968517,0.000125257247423167,0.111820560881409
"LAMC2",0.879924800380716,10.022695382855,15.235449202648,0.000132671231281187,0.116671476822202
"LIMCH1",-1.22290487087117,6.26223179082982,15.0947098366844,0.000142131901199077,0.123131868953299
"TSPAN7",-1.51844305924654,5.40070721364633,15.065309434464,0.000144197198876063,0.123131868953299
"CTTNBP2NL",1.36270078986855,5.90240391026458,15.0237169446852,0.000147163646847997,0.123869743889771
"FJX1",-1.52629065592557,5.42725720206788,14.6897567480928,0.000173367849897663,0.143870897408032
"ARID3B",2.26012269707891,4.54450564858274,14.5649991933226,0.000184252003060667,0.15077955583798
"NAV2",1.30327362465233,6.23667450739564,14.4177382486221,0.000198186096627353,0.158450995183725
"HEPHL1",1.68045403092651,5.23534606298081,14.4094282330459,0.000199004983767747,0.158450995183725
"MT2A",0.803485572426785,11.2384586213008,14.3151102003764,0.000208463451655268,0.163768887620378
"N4BP1",1.01295350793838,7.24827564733476,14.2169293374528,0.000218805442503542,0.169631798319851
"MROH3P",2.0185094286901,4.70379806236301,14.1106324963507,0.00023055682095294,0.172407735055746
"CNTNAP3C",1.94186539150001,4.76226387079304,14.1058991309344,0.000231109576689084,0.172407735055746
"SPOCD1",1.37070363719361,5.91296195562324,14.1056478299174,0.000231164478435233,0.172407735055746
"KRT7",1.56166129353528,5.35851930112924,14.0713363906673,0.000235120884336055,0.173166531313505
"UBD",3.06411006390198,3.87883506973729,13.9672067562512,0.000247012954725186,0.179679052992691
"ETS1",1.20252061679716,6.23258798472555,13.8014802573944,0.000268682803848205,0.193058424423613
"ADGRL2",-2.79775326526741,3.79796131499373,13.6755995361275,0.000285578416443562,0.202726268636804
"SESTD1",1.07968671818586,6.79747841054342,13.6428498690903,0.000290653788173877,0.203872871419105
"LOC124901731",2.68453897392253,4.04011252394788,13.5247655539231,0.000307751513788359,0.213326108146001
"IL32",1.32992326042325,5.8146888428937,13.4180762620286,0.000324967755286239,0.222640699319363
"ECE1",1.24897381696073,6.08903448758514,13.3664773363609,0.000333406528588382,0.22579669729227
"VGLL3",1.42226642653181,5.54822488315502,13.3110945761766,0.000342723399244019,0.227749234136819
"EHD1",1.46963046747064,5.45203918827096,13.2993447283712,0.00034473376384455,0.227749234136819
"CCDC33",1.54203021942612,5.31273704764398,13.2810550500294,0.000347885795524672,0.227749234136819
"VWA8",-0.963790442395984,7.27126879722998,13.2318647155589,0.000356493449254529,0.230819714616229
"CCNA2",-5.33593248933265,2.9703566372907,13.1523891126916,0.000371341273706,0.237819867899538
"ITGB1-DT",2.28851948997187,4.34374324359284,13.1161437585769,0.000377437417905391,0.239124867343931
"ID1",0.828451640181422,8.59066185369167,12.6098938013337,0.000486294022195885,0.30481323178491
"GFPT2",1.82385202629871,4.88190726463746,12.5687488703061,0.000496405641529541,0.307876004199164
"MICAL2",0.806816116085301,8.81217258082354,12.5298405691676,0.000506189719329012,0.308207632453839
"FAM43A",5.34870078310978,3.11655104719974,12.5274716655461,0.000507402246232559,0.308207632453839
