"","logFC","logCPM","F","PValue","FDR"
"LCN2",4.02977931631742,6.26511372747614,201.291677147967,1.06565939654887e-16,6.27886516446594e-12
"KRT81",2.15385766980441,7.90293593306279,124.5041699321,1.65026038746609e-13,4.86166710147511e-09
"CCL20",2.56620936039459,6.03726317807135,98.786153394015,4.39830977379803e-12,8.63828039573933e-08
"SERPINB2",1.56483934015753,8.7549951221058,66.1392288814426,8.07931130021158e-10,1.19008255452117e-05
"IL36G",3.89661667469032,4.05270273383827,61.1282967255242,1.98781597738868e-09,2.34244234775482e-05
"LOC100132154",1.69039532188397,6.95150623210254,60.4121151295207,2.39180342515889e-09,2.34875096350603e-05
"CXCL8",1.5055495632051,8.49923007163418,58.5261589547763,3.46819455444015e-09,2.760506500016e-05
"TNFAIP2",1.60825201156883,6.79056824590636,58.137148760748,3.74814188732654e-09,2.760506500016e-05
"SGPP2",1.67282341445512,6.67025660171241,57.3819576859472,4.36146645977116e-09,2.85530670899686e-05
"ABCA13",3.96068912599375,3.84319475136713,54.9037123423983,6.73837258331894e-09,3.97024912609152e-05
"UBD",3.02925737685631,4.34594689089463,52.5187029585317,1.19703277638453e-08,6.41174283496152e-05
"AKAP12",1.52238257502345,9.25655454217185,51.8674455547594,1.37113451013109e-08,6.73227044474363e-05
"ICAM1",1.55493687596328,6.65520002500378,49.4303545054648,2.32851209419158e-08,0.00010553533276136
"PLAU",1.23095762349071,8.50168382389266,47.0534601747672,3.96130131923554e-08,0.00016671419552097
"CST6",2.1027060453641,6.70162781276901,46.1024750195375,4.92123954131223e-08,0.000193306289182745
"IL32",1.77059984798889,5.91690200581194,43.9102194358448,8.19522730358847e-08,0.000293434284908418
"C15orf48",4.53339790999819,3.48729110047415,43.1098298252636,8.46636599362374e-08,0.000293434284908418
"F3",1.09867476257711,8.75300533698085,41.7369320773923,1.37793396356443e-07,0.000451043717406758
"SOD2",1.15651505149504,8.35351389471366,39.6266972012295,2.3153893339321e-07,0.000718014418711995
"HAS2",1.00267239449115,9.84489533364798,38.4611520294402,3.10368974423971e-07,0.00091434699865302
"MMP7",1.98388981582778,5.07205513699377,38.06047196909,3.43799665739152e-07,0.000964603633588134
"CLDN4",1.26688844966597,7.24441755268859,37.4882418524298,3.97809480045787e-07,0.00106540611655899
"KPNA7",1.97534847679018,4.79744701316462,37.2915155859575,4.18779743779462e-07,0.0010728044566733
"IL1B",0.992699847334524,9.65879920207476,36.6843200698826,4.8960028628451e-07,0.00120196870282847
"WNT9A",1.49082661256349,5.9032898976524,36.4588073043162,5.192245842681e-07,0.00122370850020306
"KRT7",2.69674217677595,3.9726422696532,35.7469425937625,6.26421686218262e-07,0.00141956791353769
"LOC105371121",2.18220895905345,4.9253310237271,35.3679829221786,6.91924482103114e-07,0.00150993298094502
"IL1RN",1.89230362092527,4.81194246751978,33.3344971406091,1.19447023654789e-06,0.0025135066549072
"LOXL2",1.4026863928797,6.74716756783525,31.7700383199441,1.8379171075214e-06,0.00371167943738275
"PDGFB",1.62331909138377,6.00273977788585,31.6704169657961,1.88985714734356e-06,0.00371167943738275
"SH3KBP1",1.07008294911666,8.2809162778419,31.0920164093129,2.22293743693368e-06,0.00421609540086577
"GPRC5A",0.983667527209001,8.13135910632156,30.9870144492073,2.28980062504591e-06,0.00421609540086577
"KRT6B",1.16792793227771,7.2631233204055,30.3816952466062,2.71897667510587e-06,0.00485460926355267
"SQOR",1.16731261100409,6.6872691610036,30.2426546637938,2.8290796548927e-06,0.00490262862547876
"KIF13A",-1.2091102082508,6.71749784538782,29.2699321582622,3.74360262628495e-06,0.00630208762116312
"LOC105376714",3.28702121491604,3.31078988931854,28.9757026953773,3.95097842725147e-06,0.00646643469260157
"FOXA1",1.48270232333145,5.28112246502672,28.3542799974015,4.89292613205737e-06,0.00779165426218433
"CSTA",1.12107179435135,6.61892766894245,28.2336243347421,5.06948108185925e-06,0.00786036382481965
"CCDC71L",1.26965215638864,6.58840616128704,28.1291930599857,5.22825030413279e-06,0.00789867969024369
"BCL2A1",2.54404324842256,3.71889268209946,27.9992350786868,5.43320751084474e-06,0.0080031146634743
"HEPHL1",1.67088925792959,4.85041241833793,27.2825816054169,6.72822418073329e-06,0.00966895045680013
"LOC124901681",1.50946238340079,5.09868941234486,27.1768735641817,6.94389204214755e-06,0.00974128855055557
"TRAF1",2.39596924007179,3.72980467537002,26.9968907529172,7.33604311765569e-06,0.0100520851277273
"CDH4",1.6177364629831,5.476464665737,26.6282029946737,8.19268192829132e-06,0.0109707458912483
"LOC105374065",1.98152117683509,4.23733995690516,26.4799685085742,8.58068628561341e-06,0.0112349785766298
"RPS6KA2",2.5932489215775,3.61338910101428,26.2292287985834,9.23388987350151e-06,0.0118274085075371
"PVT1",-1.01763576790953,7.98731290192381,26.0530015585434,9.75928542337576e-06,0.0120495412860557
"VWA8",-0.990394606368823,7.41500233741199,26.033969194793,9.81632691328368e-06,0.0120495412860557
"LOC124904265",2.52390437417557,3.68994429399002,25.7166579623259,1.08185281942395e-05,0.0130087281878488
"ABTB2",1.36883102468752,6.14528319248079,25.1247220744863,1.29931516218832e-05,0.0152670815655032
"SLC28A3",1.47296819204271,5.22953449800198,25.0705804317792,1.32148873021158e-05,0.0152670815655032
"LIPG",1.39965801257908,5.28658357724906,24.6874940144098,1.48926733911275e-05,0.0166944014047982
"PTPRZ1",-1.66722012115861,5.46580677624731,24.6614012653764,1.50170277402292e-05,0.0166944014047982
"SLC47A2",-1.15494928734874,6.24032682718111,23.8772085742388,1.92267238175732e-05,0.0209784919876188
"HMGA1",0.851302200203985,9.15283343995103,23.7501783671487,2.00182929402954e-05,0.0214450512734946
"ITGB1-DT",2.01293824413917,4.15885867707402,23.6127036285393,2.09439780805803e-05,0.0220360569376391
"UGDH",0.81155918711262,8.78233489245983,23.4651944099205,2.19239683362119e-05,0.0226624599012211
"MBOAT2",0.957060623071893,7.11407079611792,23.4101272390475,2.23139749530877e-05,0.0226679207626885
"LOXL4",3.00122682327946,3.09098539396714,23.1722362294947,2.35300941873523e-05,0.0234981889748949
"SPATA22",6.12220617930132,2.22987355983692,23.2977786021196,2.44838915820232e-05,0.0240431815335468
"WDR12",-1.91192219670504,4.12750344774742,22.9365678765152,2.60151720984083e-05,0.0247072029775465
"TMPRSS4",1.1425681234355,6.31655706960045,22.8940159373377,2.63443692573689e-05,0.0247072029775465
"LOC105374921",4.18974259060371,2.54278872515387,22.6308468806192,2.68077272731586e-05,0.0247072029775465
"MTSS1",1.00194508825422,8.90027496502685,22.8366026942872,2.68374234650879e-05,0.0247072029775465
"FAM83A",1.13626237648089,7.37755659523115,22.4466196866263,3.04600612114719e-05,0.0276108739473835
"AP3B2",-3.18390411800762,3.30540171012088,22.0956197934044,3.2636466862258e-05,0.0287222691926692
"MMP16",-2.59146794734444,3.96632858513235,22.2172539644165,3.26611004057848e-05,0.0287222691926692
"TRIML2",0.886834765476832,7.8206824950187,22.0695627591187,3.4456168020853e-05,0.0298552561733626
"CCL3",6.16729359459228,2.26609730050519,21.9542017082686,3.77113079555379e-05,0.0322021777498593
"MT2A",0.681484875432081,11.153171329543,21.6002967568947,4.02175833886946e-05,0.0338517144751698
"MYO5B",1.03689209717163,6.59758660318428,21.4934535394464,4.16670474168431e-05,0.034577780757752
"TLL1",-1.05532202553204,6.15524598057088,21.2717042162942,4.48539929852596e-05,0.0362356947686344
"LRIG3",-1.20657613515167,5.97770271161184,21.2560581552611,4.50889873743151e-05,0.0362356947686344
"SEMA7A",1.28867596419983,5.42657320641344,21.2282151598251,4.55098678356915e-05,0.0362356947686344
"TRPV3",1.41147554694424,5.03849529542407,21.1201929568153,4.71824410362278e-05,0.0370665256780605
"LOC105374164",0.95162577880076,6.9160966353029,20.9119648867096,5.05805957608709e-05,0.0392132723977699
"PRDM1",0.910385862884999,6.89795865609771,20.5382935492115,5.73556856531249e-05,0.0438882727101574
"LOC124904356",2.59779132796705,3.2510503777466,20.1577101348741,6.48613509275011e-05,0.048995266623697
"ALDH3A1",-2.10141985234588,3.69986716870359,20.1280636831886,6.57255206814449e-05,0.0490195908677308
"IFNGR2",0.901056677594437,6.91309636406806,20.0204924907016,6.83709468500293e-05,0.0499368075074991
"EHF",0.774598019917971,8.30259648645503,20.0085137430376,6.86503972862767e-05,0.0499368075074991
"OAF",0.956217141485035,7.14802634918655,19.907071158634,7.10697455499901e-05,0.0508683236034569
"PTGS2",1.0853817646479,5.95965700633272,19.8830246881814,7.16576859994386e-05,0.0508683236034569
"LEMD1",1.51648300095965,4.47588988491031,19.7317221777306,7.54925776967103e-05,0.0526337505849235
"SMCO2",1.31093219777605,5.01976108583184,19.7140940450985,7.59312423577478e-05,0.0526337505849235
"MXRA5",-1.701716101305,4.27509725038766,19.604775439188,7.89234407082788e-05,0.0540717340294394
"TBX3",1.21288590658094,5.28850281512926,19.4704769071874,8.25616080224401e-05,0.0559141372951974
"DAPP1",0.866165820645702,7.05725497413362,19.4344631239585,8.35880208080068e-05,0.0559659793864519
"CCL5",3.96618188831925,2.38897023555708,19.1728047057334,8.67325666127686e-05,0.056584719911927
"BLZF1",0.833674636688414,7.35771564648261,19.3112461461651,8.72208329471428e-05,0.056584719911927
"PLAUR",0.741479494233582,9.04754397552488,19.2791089903986,8.81951213206483e-05,0.056584719911927
"ARL5B",1.00608513090544,6.38761801372201,19.2739616128211,8.83536020349166e-05,0.056584719911927
"ARNTL2",0.862908975425459,7.4308311036883,19.165815636532,9.17245360140195e-05,0.0581119318488821
"PUS7",-1.32623598679294,5.30303185338906,19.1335916081583,9.276885182029e-05,0.0581483058431009
