"","Cluster","Epithelial","Fibroblast","EMT","Phenotype"
"g0","0",10.3985917040915,0.261401055499122,0.168191560196746,"Epithelial"
"g1","1",18.843847662989,0.626544941541694,0.143572556169643,"Epithelial"
"g2","2",12.5183659183496,0.136419298599064,0.191467559021073,"Epithelial"
"g3","3",9.5665140995365,0.0690680564379824,0.108373055578037,"Epithelial"
"g4","4",31.5799442606246,0.086412156282091,0.0929816720149476,"Epithelial"
"g5","5",10.7160961072961,0.283828387881033,0.155992131066586,"Epithelial"
"g6","6",13.6021917123991,1.73018691665219,0.134676847798741,"Epithelial"
"g7","7",7.07666530396731,0.24180117667214,0.115128007019454,"Epithelial"
