"","logFC","logCPM","F","PValue","FDR"
"LCN2",3.5785756750952,10.1796825588955,255.609176996354,1.63026460719556e-11,6.12242877395484e-07
"CCL20",4.19943268841458,6.614840671619,247.999643538152,2.07821750643409e-11,6.12242877395484e-07
"SAA1",2.73452834450637,8.01601193594161,185.046447490575,1.98917011472911e-10,3.90673010532797e-06
"CXCL8",2.11006332946084,8.60356310125797,135.381358833,2.10822797517454e-09,3.1054198074321e-05
"SAA2",3.85419287030118,6.67764999170736,117.48428628047,6.02230967674486e-09,7.09668972307615e-05
"TNFAIP2",2.01837818659915,8.45590441547234,80.4248531154872,9.03433540062973e-08,0.000756938977556843
"LOC105376714",3.39474975429036,4.49838411004467,79.1421366007832,1.02214311161169e-07,0.000756938977556843
"VNN1",2.27050462202462,5.27537256470715,78.1290893919825,1.10650628977242e-07,0.000756938977556843
"UBD",3.99994766825018,4.62763225883812,77.4503533733606,1.15622043414996e-07,0.000756938977556843
"IL32",2.08313755030049,5.32415073223178,69.7195433180231,2.41471185727934e-07,0.00142274822630898
"LOC105375914",2.4322689759003,4.81849282649802,67.2294810239901,3.10057145490596e-07,0.00166077881930054
"ICAM1",2.05868637163779,5.79155774368786,65.180951164833,3.80070874255685e-07,0.00186614799259541
"C3",2.69759659113223,5.00457687067218,63.8338047099885,4.39120280946387e-07,0.00199022822718162
"PDZK1IP1",4.47031099092851,3.17613556207125,56.0279802040115,5.84665389147846e-07,0.00246060605204222
"AKAP12",2.21922336703627,7.81625898509538,52.6954651721886,1.53413996560651e-06,0.00602610178490239
"IL1B",1.86513409113957,8.47847302278159,49.0311019152087,2.42709524134746e-06,0.00857503274348728
"BCL2A1",4.05433141276073,4.15699103299282,48.3029134279019,2.47412689476042e-06,0.00857503274348728
"SGPP2",2.01890959488179,5.84560881037544,47.8422574964136,2.83357044603376e-06,0.0092752205933505
"F3",1.19190382713752,8.55127449493945,44.2493635800833,4.60159012951994e-06,0.0142697731805955
"IL36G",5.82602362882909,3.57978491151255,40.8427922521589,5.33999236365361e-06,0.0153246227285893
"S100A9",2.09788580700731,5.09791540220797,43.0382101455191,5.46193274440555e-06,0.0153246227285893
"MMP7",1.66633520698932,7.22018575109652,42.3691169382686,6.00276259957514e-06,0.016076489653044
"IDO1",2.09201368110995,4.57387666657012,41.2544700142717,7.07854699915232e-06,0.0181333908343502
"SOD2",1.50420570485503,8.42331455443832,39.7970947874469,8.76005712390167e-06,0.0215059402391786
"FUT8",1.66339614403638,5.10150240437168,37.7896196352456,1.19219304235943e-05,0.0280976056223272
"SAT1",0.98270131798501,10.0304993224801,35.7169998801974,1.65743538157667e-05,0.0375600356471144
"EDN1",1.68345439464254,4.79685795958212,35.2830860362412,1.78082563979049e-05,0.0388615728505391
"IGFBP3",1.18491547878159,9.27195019338679,34.4314643077933,2.04800475498048e-05,0.0425264509057994
"CD82",1.43588656873175,6.68533836132417,34.301311405212,2.09312131070635e-05,0.0425264509057994
"IL1A",1.13922827179333,7.94448961021394,33.9780151637559,2.20964594556326e-05,0.0433974463708625
"SERPINB2",1.40571808826117,7.79076863375235,33.3488327996096,2.45813440519945e-05,0.046720412630436
"MMP13",1.44066054501907,6.06585183285046,33.0821487101663,2.57307137071624e-05,0.0473766766133128
"LIPH",1.40817643368045,6.18770373192516,31.4425701349967,3.42483009843911e-05,0.0611487846666765
"HMGN2P46",3.44972553636891,2.8072991895294,29.5539441010742,3.91941944305599e-05,0.0679212334073115
"S100A8",4.55547073209365,3.72238204517118,28.8820493258827,4.45531866865358e-05,0.0750021074163054
"KRT7",1.230312837245,6.35878969954823,28.5614906670248,5.80677009592608e-05,0.0950374705699902
"PRDM1",1.81089303977504,5.47369014840811,28.1486226003179,6.28269990404966e-05,0.100047750904488
"ECE1",1.08926962478466,6.24652835046795,27.8399753391229,6.66426034082918e-05,0.101529470936904
"PTGES",1.16702885905756,6.48118379760615,27.7963636673325,6.7203824958236e-05,0.101529470936904
"TTC9",2.11595114974368,4.2041460692111,27.2793903621472,7.46067523952637e-05,0.107350053879717
"CSTA",1.03531173787023,7.28377947625299,27.2509186544231,7.47004787689816e-05,0.107350053879717
"CFB",1.96566406497818,4.01207172902063,26.0828878362721,9.45676667678753e-05,0.131930043784062
"WNT4",2.17338147659419,5.44007581322351,25.9728715613251,9.6282957955103e-05,0.131930043784062
"LOC124904913",1.18704661269398,5.17180359674941,24.7616977348411,0.000123305288241217,0.165116990526648
"NAV3",2.62305800685288,2.975589949251,24.3171183868328,0.000130218074815984,0.170498865959061
"SQOR",1.32496424192634,6.26550682320773,24.1108488163212,0.000141275598978571,0.179965134471004
"HDAC9",1.05990289934902,7.88435483795813,24.0347650285285,0.000143556709438853,0.179965134471004
"LIMCH1",-0.981918777230189,6.21119895526247,23.5325143598903,0.000159759552943139,0.196104851237703
"CENPF",-1.89670189463941,4.56268925139838,23.1083986417149,0.000175153811927957,0.210613522424392
"FGFBP1",-2.03955462797114,3.87464322455297,22.935058459572,0.000182266428867282,0.212511001197132
"CXCL1",1.63462615614466,5.8587003962977,22.8806339094152,0.000183945367634992,0.212511001197132
"ZEB2",1.8392786093144,3.68579648732301,22.7711066467573,0.00018932193900142,0.212887428025165
"CDC25C",-5.94064865201967,1.40609222720514,23.5088301955844,0.000191497516723247,0.212887428025165
"CP",2.854187106961,4.32735546889342,22.5964889446372,0.000196736364998739,0.214661233809735
"OAF",1.53243299504579,6.03687885898201,22.3959987154154,0.000204577444290562,0.219158236683635
"LINC00342",1.26409809688348,7.77983745111816,22.242266149118,0.000211640194110339,0.219271277132093
"RFTN1",2.78005910194673,2.61832934846575,21.8199190322396,0.00021212598093227,0.219271277132093
"ADAMTS1",-1.14821540387335,5.23540075294938,21.9493918389288,0.000225930999874982,0.229514732976447
"BNIP3",-1.19408796467312,5.17550942604682,21.2079876422344,0.000267124871817438,0.266762668601415
"ABCA12",1.50607361689968,4.16236813581806,21.0690666944403,0.000276150142390628,0.271179439827597
"SLC28A3",1.84771849998494,4.70548897624708,20.6446061399097,0.000304303588176343,0.293927334677871
"SNCA",-1.12066291127224,5.27107028582768,20.3632605079116,0.000324673767098422,0.308544812216758
"ASPM",-1.87785133463239,3.43622092619088,20.285009953159,0.000331915893183283,0.310420387719985
"IFNGR2",0.869024519022701,6.41819330565613,20.0463606705044,0.000349733564787772,0.321973463082743
"SPOCD1",1.5542733363293,4.91501658040309,19.9752643798765,0.000355779113576532,0.322500082645066
"HEPHL1",2.8537748079893,2.9348769813111,19.564315290607,0.000373182566671068,0.323988901395376
"TNIP3",1.76633549108762,3.77672688469393,19.7807710096753,0.000373835286508606,0.323988901395376
"CDH4",2.98658538129106,3.46320741001618,19.6647623656179,0.000376420823120549,0.323988901395376
"NCF2",2.12030346466044,3.33749901618195,19.711042243533,0.000379416737886642,0.323988901395376
"LIPG",1.23296219476808,4.7759389828012,19.5328053288806,0.000395268417513952,0.332703073713172
"LOXL4",6.07053439459865,1.72526494739703,20.0400172258052,0.000405975434984544,0.336902431398441
"KRT6B",1.16270015793353,7.16829553838514,19.2858613492648,0.000419316253325629,0.343140467304806
"C15orf48",2.08392516679399,6.04490671929458,19.1363212757601,0.000434806777566889,0.350942675811522
"KPNA7",1.57309025912021,4.63952648463247,18.9309183749001,0.000457292467591693,0.364103678250034
