"","logFC","logCPM","F","PValue","FDR"
"VIM",3.72536274370623,9.03157139338728,22.4691428707673,5.6644885461269e-06,0.333751665137797
"RPL17P34",6.83728056748052,7.77627266119559,18.3564312908702,3.63456866327378e-05,1
"S100A4",4.417232950216,8.32461468303096,17.4321399474608,5.49345985882178e-05,1
"H2AW",6.69872164769122,7.66732365251224,15.5932755822622,0.000130705524175414,1
"SMC3",6.40060111575239,7.46518570800778,15.5380427114361,0.000134142908088884,1
"AKAP12",2.54562239060649,9.33981772806173,15.4625490809332,0.000138427406375154,1
"MBNL2",-2.59201629619395,7.98979969984938,14.613383248147,0.000206767493903599,1
"H3-3B",2.03901375633139,10.4663298359376,13.835676075095,0.000299756717452356,1
"MESD",6.167710776995,7.30289076745361,13.6731422825816,0.000325018364251855,1
"CXCL8",3.24543669785396,8.17923842340401,13.5784369748824,0.000337599189550839,1
"RPS26P2",3.02133943549105,8.77156557717849,13.5779502894162,0.000338599862362227,1
"SLC20A1",3.74589302435073,7.85014838919272,13.3014173469573,0.000385835953304389,1
"SLC25A37",3.20621815821878,8.15130516443224,13.2101139240367,0.000403162595919826,1
"RPS2P33",2.99374961328496,8.4256008812322,12.9892926458619,0.000449281214313986,1
"FERMT1",3.6991109718768,7.80563252656141,12.9679793723137,0.000453319475231753,1
"RIOK3",2.71852528999881,8.56084157035132,12.8645780124689,0.000477708921604103,1
"RPL27AP5",6.20547522058896,7.32210459095228,12.648573767997,0.000532692281785834,1
"EEF1A1",2.42111006161219,8.86164495451215,12.6245955616936,0.000537200797178508,1
"H2AZ1",2.82174114434308,8.33078973753218,12.4218639867423,0.000591817214761291,1
"DYNLT3",6.02871729136552,7.20688311277163,12.4149967453569,0.000596695506184319,1
"RPLP0",1.98746492674653,9.83823126110048,12.3596468199732,0.000611462270220851,1
"SOD2",2.78760300206868,8.31576405729826,12.2212643852504,0.000652642750531012,1
"CSTB",3.04758272632613,8.05038090686385,12.2093765275421,0.000655509000780012,1
"PLP2",3.60189414794544,7.73143213202639,12.1904461951709,0.00066168494389976,1
"RPS18P5",3.67036868603562,7.77082651107559,12.1247787544079,0.000683268735617834,1
"F3",2.27242306003401,9.10933424736405,12.0576558049215,0.000708389775838233,1
"RPS8P4",6.22407228949842,7.33319041482583,12.0599109703229,0.000709471381318416,1
"DDX5",1.95229535734801,10.0535972584145,12.0427967531609,0.000713723084203776,1
"ATP5F1C",3.58133840192373,7.73014822801315,11.8899007605785,0.000766536640788951,1
"UGP2",5.96597953071486,7.1628323482517,11.8701083814175,0.00077848873624359,1
"NUP58",5.91897348296799,7.13139682164635,11.7128981075481,0.000840853510148502,1
"CD81",5.9277579161167,7.13730235478489,11.6898108707299,0.000850435447226401,1
"S100A2",1.73126233414912,11.6308150459825,11.6816621047647,0.000851870451560559,1
"HLA-B",3.03868978335293,8.02948311977567,11.5843971044152,0.000890599510774989,1
"UBB",2.66665440133733,8.50851991343043,11.5637899046334,0.000901536088555284,1
"NSA2",2.96936137818631,7.98906110265044,11.5330293993322,0.000913444483979315,1
"ETS1",5.88530023889767,7.10868692414588,11.4823905599945,0.000941702141387683,1
"S100A6",1.75160202235049,10.7528363749137,11.3133102856926,0.00102129055807297,1
"RPL35A",1.7629341592194,10.3733224661265,10.9666426487603,0.00121235411204715,1
"SREK1IP1",5.81808443934747,7.06318036626794,10.9431845960766,0.00122902374289819,1
"RPL37P5",5.93582637388102,7.14259514922143,10.9159468582745,0.00124574055119319,1
"RALA",5.80345905483463,7.05463205057816,10.8819318245648,0.0012669199428164,1
"SP100",5.80345905483463,7.05463205057816,10.8819318245648,0.0012669199428164,1
"RPS20",1.76646730397756,10.4812586128284,10.8665769005484,0.00127405230898383,1
"RPS7P10",3.09347823978975,8.05006726440906,10.797110380662,0.00131483949071841,1
"ID1",2.88091342248031,7.92733286443722,10.7036431989764,0.00137748951487843,1
"ARPC1B",2.87387743974583,7.92042710825257,10.6835502283536,0.00139134454775278,1
"RPS21",1.89187789903666,9.60639790253206,10.6566439360132,0.00141424249810492,1
"HSP90AA2P",5.8244238280271,7.06984836911114,10.6355180644126,0.00143192391454834,1
"SEC61B",2.86287646401725,7.90971821803668,10.5509417212355,0.00148644496321123,1
"RPL8",1.6359698313466,11.3329141804286,10.3192928893074,0.00167344232614702,1
"CHIC2",2.29081893330537,8.73742211357764,10.1710181943225,0.00180171186367474,1
"RPL23P6",3.49507821323518,7.64280707795353,10.1636493037057,0.00180446549034037,1
"NUP98",5.66928814530715,6.96608189689599,10.0065980485648,0.00196083139436933,1
"TMSB10",1.58503385210979,11.3473447896364,9.97535207832852,0.00198839040568063,1
"RPS27AP16",2.47796951342797,8.37929057273684,9.90493242661194,0.00205808738316802,1
"LGALS3",2.37992261899047,8.3475112523589,9.90318165378884,0.00205997264612637,1
"PLXNA2",-2.90371674273921,6.89741247646729,9.89787525405208,0.00206268717340744,1
"RPL36AL",1.92894947328007,9.20301688480759,9.87985597257655,0.00208621100814004,1
"TUBA1A",2.86136225932567,7.89077276372213,9.85169160835847,0.00211068231497292,1
"PELI2",-3.25908138405947,6.70336455031122,9.8146288399385,0.0021503544395176,1
"YWHAH",5.63891830258211,6.94762536343818,9.79915204973133,0.00217640428100192,1
"SYNGR2",5.63891830258211,6.94762536343818,9.79915204973133,0.00217640428100192,1
"CCNK",5.63341936149103,6.94202036915195,9.74546253508563,0.00223607352727653,1
